Player,Position,Date of Birth,Age,Caps,Team
Luke Cowan-Dickie,Hooker,1993-06-12,27,26,England
Jamie George,Hooker,1990-06-20,30,54,England
Ellis Genge,Prop,1995-02-15,25,23,England
Joe Marler,Prop,1990-07-07,30,72,England
Beno Obano,Prop,1994-10-25,26,0,England
Will Stuart,Prop,1996-07-12,24,8,England
Harry Williams,Prop,1991-10-01,29,18,England
Jonny Hill,Lock,1994-06-08,26,3,England
Maro Itoje,Lock,1994-10-28,26,43,England
Joe Launchbury,Lock,1991-04-12,29,69,England
Courtney Lawes,Lock,1989-02-23,31,85,England
Tom Curry,Back row,1998-06-15,22,28,England
Ben Earl,Back row,1998-01-07,23,8,England
Sam Underhill,Back row,1996-07-22,24,22,England
Billy Vunipola,Back row,1992-11-03,28,56,England
Mark Wilson,Back row,1989-10-06,31,19,England
Harry Randall,Scrum-half,1997-12-18,23,0,England
Dan Robson,Scrum-half,1992-03-14,28,7,England
Ben Youngs,Scrum-half,1989-09-05,31,104,England
Owen Farrell (c),Fly-half,1991-09-24,29,88,England
George Ford,Fly-half,1993-03-16,27,72,England
Ollie Lawrence,Centre,1999-09-18,21,3,England
Henry Slade,Centre,1993-03-13,27,34,England
Jonny May,Wing,1990-05-01,30,61,England
Paolo Odogwu,Wing,1997-02-18,23,0,England
Anthony Watson,Wing,1994-02-26,26,46,England
Elliot Daly,Fullback,1992-10-08,28,47,England
Max Malins,Fullback,1997-01-07,24,3,England
Kyle Sinckler,Prop,1993-03-30,27,40,France
Mako Vunipola,Prop,1991-01-14,30,63,France
David Ribbans,Lock,1995-08-29,25,0,France
Tom Dunn,Hooker,1992-11-12,28,3,France
Joe Heyes,Prop,1999-04-13,21,0,France
Charlie Ewels,Lock,1995-06-29,25,17,France
George Martin,Lock,2001-06-18,19,0,France
Jack Willis,Back row,1996-12-24,24,2,France
Alex Mitchell,Scrum-half,1997-05-25,23,0,France
Charlie Atkinson,Fly-half,2001-10-06,19,0,France
Jacob Umaga,Fly-half,1998-07-08,22,0,France
Jonathan Joseph,Centre,1991-05-21,29,54,France
Joe Marchant,Centre,1996-02-06,25,4,France
Alistair Crossdale,Wing,1998-01-09,23,0,France
George Furbank,Fullback,1996-10-17,24,3,France
Pierre Bourgarit,Hooker,1997-09-12,23,3,France
Julien Marchand,Hooker,1995-05-10,25,9,France
Peato Mauvaka,Hooker,1997-01-10,24,6,France
Dorian Aldegheri,Prop,1993-08-04,27,6,France
Cyril Baille,Prop,1993-09-15,27,23,France
Georges-Henri Colombe,Prop,1998-04-09,22,0,France
Jean-Baptiste Gros,Prop,1999-05-29,21,5,France
Mohamed Haouas,Prop,1994-06-09,26,7,France
