Player,Position,Date of Birth,Age,Caps,Team
Kilian Geraci,Lock,1999-03-25,21,2,France
Bernard Le Roux,Lock,1989-06-04,31,44,France
Romain Taofifénua,Lock,1990-09-14,30,22,France
Paul Willemse,Lock,1992-11-13,28,12,France
Grégory Alldritt,Back row,1997-03-23,23,18,France
Dylan Cretin,Back row,1997-05-04,23,5,France
Anthony Jelonch,Back row,1996-07-28,24,4,France
Charles Ollivon (c),Back row,1993-05-11,27,18,France
Baptiste Pesenti,Back row,1997-07-03,23,2,France
Cameron Woki,Back row,1998-11-07,22,4,France
Baptiste Couilloud,Scrum-half,1997-07-22,23,5,France
Antoine Dupont,Scrum-half,1996-11-15,24,27,France
Baptiste Serin,Scrum-half,1994-06-20,26,40,France
Louis Carbonel,Fly-half,1999-02-04,22,2,France
Matthieu Jalibert,Fly-half,1998-11-06,22,8,France
Pierre-Louis Barassi,Centre,1998-04-22,22,2,France
Gaël Fickou,Centre,1994-03-26,26,58,France
Arthur Vincent,Centre,1999-09-30,21,7,France
Damian Penaud,Wing,1996-09-25,24,17,France
Teddy Thomas,Wing,1993-09-18,27,22,France
Gabin Villière,Wing,1995-12-13,25,2,France
Anthony Bouthier,Fullback,1992-06-19,28,6,France
Brice Dulin,Fullback,1990-04-13,30,31,France
WillGriff John,Prop,1992-12-04,28,0,France
James Botham,Back row,1998-02-22,22,3,France
Lloyd Williams,Scrum-half,1989-11-30,31,31,France
Willis Halaholo,Centre,1990-07-06,30,0,France
Gaëtan Barlot,Hooker,1997-04-13,23,0,France
Teddy Baubigny,Hooker,1998-09-02,22,1,France
Camille Chat,Hooker,1995-12-18,25,31,France
Uini Atonio,Prop,1990-03-26,30,34,France
Demba Bamba,Prop,1998-03-17,22,14,France
Wilfrid Hounkpatin,Prop,1991-07-29,29,0,France
Hassane Kolingar,Prop,1998-03-06,22,2,France
Thierry Paiva,Prop,1995-11-19,25,0,France
Cyril Cazeaux,Lock,1995-02-10,26,1,France
Swan Rebbadj,Lock,1995-01-15,26,1,France
Maxime Lucu,Scrum-half,1993-01-12,28,0,France
Romain Ntamack,Fly-half,1999-05-01,21,18,France
Jonathan Danty,Centre,1992-10-07,28,7,France
Yoram Moefana,Centre,2000-07-18,20,2,France
Virimi Vakatawa,Centre,1992-05-01,28,27,France
Donovan Taofifénua,Wing,1999-03-30,21,0,France
Thomas Ramos,Fullback,1995-07-23,25,14,France
Dave Heffernan,Hooker,1991-01-31,30,5,Ireland
Rob Herring,Hooker,1990-04-27,30,16,Ireland
Rónan Kelleher,Hooker,1998-01-21,23,6,Ireland
Tadhg Furlong,Prop,1992-11-14,28,44,Ireland
Cian Healy,Prop,1987-10-07,33,104,Ireland
David Kilcoyne,Prop,1988-12-14,32,39,Ireland
Tom O'Toole,Prop,1998-09-23,22,0,Ireland
Andrew Porter,Prop,1996-01-16,25,32,Ireland
Tadhg Beirne,Lock,1992-01-08,29,17,Ireland
Ultan Dillane,Lock,1993-11-09,27,17,Ireland
Iain Henderson,Lock,1992-02-21,28,58,Ireland
Quinn Roux,Lock,1990-10-30,30,16,Ireland
James Ryan,Lock,1996-07-24,24,32,Ireland
Will Connors,Back row,1996-04-04,24,5,Ireland
Caelan Doris,Back row,1998-04-02,22,7,Ireland
Peter O'Mahony,Back row,1989-09-17,31,73,Ireland
Rhys Ruddock,Back row,1990-11-13,30,26,Ireland
CJ Stander,Back row,1990-04-05,30,46,Ireland
Josh van der Flier,Back row,1993-04-25,27,28,Ireland
Craig Casey,Scrum-half,1999-04-19,21,0,Ireland
Jamison Gibson-Park,Scrum-half,1992-02-23,28,5,Ireland
Conor Murray,Scrum-half,1989-04-20,31,87,Ireland
Billy Burns,Fly-half,1994-06-13,26,3,Ireland
Ross Byrne,Fly-half,1995-04-08,25,11,Ireland
Johnny Sexton (c),Fly-half,1985-07-11,35,95,Ireland
Bundee Aki,Centre,1990-04-07,30,30,Ireland
Chris Farrell,Centre,1993-03-16,27,14,Ireland
Robbie Henshaw,Centre,1993-06-12,27,47,Ireland
Stuart McCloskey,Centre,1992-08-06,28,4,Ireland
Garry Ringrose,Centre,1995-01-26,26,30,Ireland
Andrew Conway,Wing,1991-07-11,29,24,Ireland
Keith Earls,Wing,1987-10-02,33,88,Ireland
Jordan Larmour,Wing,1997-06-10,23,24,Ireland
Hugo Keenan,Wing,1996-06-18,24,6,Ireland
James Lowe,Wing,1992-07-08,28,2,Ireland
Shane Daly,Fullback,1996-12-19,24,1,Ireland
Finlay Bealham,Prop,1991-10-09,29,14,Ireland
Ed Byrne,Prop,1993-09-09,27,3,Ireland
Ryan Baird,Lock,1999-07-26,21,0,Ireland
Jack Conan,Back row,1992-07-29,28,17,Ireland
Gavin Coombes,Back row,1997-12-11,23,0,Ireland
John Cooney,Scrum-half,1990-05-01,30,11,Ireland
Harry Byrne,Fly-half,1999-04-22,21,0,Ireland
Jacob Stockdale,Wing,1996-04-03,24,33,Ireland
Luca Bigi (c),Hooker,1991-04-19,29,32,Italy
Gianmarco Lucchesi,Hooker,2000-09-10,20,2,Italy
Marco Manfredi,Hooker,1997-09-18,23,0,Italy
Pietro Ceccarelli,Prop,1992-02-16,28,14,Italy
Danilo Fischetti,Prop,1998-01-26,23,8,Italy
Marco Riccioni,Prop,1997-10-19,23,7,Italy
Daniele Rimpelli,Prop,1997-06-23,23,0,Italy
Cherif Traorè,Prop,1994-04-10,26,10,Italy
Giosuè Zilocchi,Prop,1997-01-15,24,10,Italy
Niccolò Cannone,Lock,1998-05-17,22,8,Italy
Riccardo Favretto,Lock,2001-10-10,19,0,Italy
Marco Lazzaroni,Lock,1995-05-18,25,11,Italy
David Sisi,Lock,1993-02-05,28,11,Italy
Cristian Stoian,Lock,1999-12-19,21,2,Italy
Michele Lamaro,Back row,1998-06-03,22,2,Italy
Maxime Mbanda,Back row,1992-04-10,28,25,Italy
Johan Meyer,Back row,1993-02-26,27,9,Italy
Sebastian Negri,Back row,1994-06-30,26,28,Italy
Federico Ruzza,Back row,1994-08-04,26,19,Italy
Callum Braley,Scrum-half,1994-03-24,26,9,Italy
Guglielmo Palazzani,Scrum-half,1991-04-11,29,41,Italy
Stephen Varney,Scrum-half,2001-05-16,19,3,Italy
Tommaso Allan,Fly-half,1993-04-26,27,60,Italy
Carlo Canna,Fly-half,1992-08-25,28,47,Italy
Paolo Garbisi,Fly-half,2000-04-26,20,5,Italy
Ignacio Brex,Centre,1992-05-26,28,0,Italy
Federico Mori,Centre,2000-10-13,20,5,Italy
Marco Zanon,Centre,1997-10-03,23,4,Italy
Mattia Bellini,Wing,1994-02-08,26,28,Italy
Monty Ioane,Wing,1994-10-30,26,1,Italy
Luca Sperandio,Wing,1996-01-28,25,6,Italy
Jacopo Trulla,Fullback,2000-11-05,20,3,Italy
Renato Giammarioli,Back row,1995-03-23,25,4,Italy
Marcello Violi,Scrum-half,1993-10-11,27,19,Italy
Tommaso Boni,Centre,1993-01-15,28,11,Italy
Tommaso Menoncello,Centre,2002-08-20,18,0,Italy
Michelangelo Biondelli,Fullback,1998-05-15,22,0,Italy
Jamie Dobie,Scrum-half,2001-06-07,19,0,Scotland
Rufus McLean,Fullback,2000-03-02,20,0,Scotland
Ewan Ashman,Hooker,2000-04-03,20,0,Scotland
David Cherry,Hooker,1991-01-03,30,0,Scotland
Grant Stewart,Hooker,1995-02-28,25,3,Scotland
George Turner,Hooker,1992-10-08,28,12,Scotland
Simon Berghan,Prop,1990-12-07,30,28,Scotland
Allan Dell,Prop,1992-03-16,28,32,Scotland
Zander Fagerson,Prop,1996-01-16,25,34,Scotland
Oli Kebble,Prop,1992-06-18,28,5,Scotland
WP Nel,Prop,1986-04-30,34,40,Scotland
Rory Sutherland,Prop,1992-08-24,28,11,Scotland
Alex Craig,Lock,1997-04-21,23,0,Scotland
Scott Cummings,Lock,1996-12-03,24,17,Scotland
Grant Gilchrist,Lock,1990-08-09,30,42,Scotland
Jonny Gray,Lock,1994-03-14,26,61,Scotland
Richie Gray,Lock,1989-08-24,31,65,Scotland
Matt Fagerson,Back row,1998-07-16,22,9,Scotland
Gary Graham,Back row,1992-08-29,28,2,Scotland
Jamie Ritchie,Back row,1996-08-16,24,23,Scotland
Blade Thomson,Back row,1990-12-04,30,9,Scotland
Hamish Watson,Back row,1991-10-15,29,36,Scotland
Ali Price,Scrum-half,1993-03-12,27,37,Scotland
Scott Steele,Scrum-half,1993-07-24,27,1,Scotland
Finn Russell,Fly-half,1992-09-23,28,51,Scotland
Jaco van der Walt,Fly-half,1994-02-01,27,1,Scotland
Chris Harris,Centre,1990-12-28,30,23,Scotland
Huw Jones,Centre,1993-12-17,27,26,Scotland
James Lang,Centre,1995-04-04,25,5,Scotland
Cameron Redpath,Centre,1999-12-23,21,0,Scotland
Duncan Taylor,Centre,1989-09-05,31,23,Scotland
Darcy Graham,Wing,1997-06-21,23,15,Scotland
Sean Maitland,Wing,1988-07-14,32,50,Scotland
Byron McGuigan,Wing,1989-08-20,31,10,Scotland
Duhan van der Merwe,Wing,1995-06-04,25,5,Scotland
Stuart Hogg (c),Fullback,1992-06-24,28,80,Scotland
Blair Kinghorn,Fullback,1997-01-18,24,25,Scotland
Jamie Bhatti,Prop,1993-09-08,27,16,Scotland
D'Arcy Rae,Prop,1994-12-21,26,1,Scotland
Alex Samuel,Lock,1995-09-20,26,0,Scotland
Sam Skinner,Lock,1995-01-31,26,10,Scotland
Max Williamson,Lock,2001-01-01,20,0,Scotland
Josh Bayliss,Back row,1997-09-18,23,0,Scotland
Rory Darge,Back row,2000-02-23,21,0,Scotland
Cornell du Preez,Back row,1991-03-23,29,9,Scotland
Nick Haining,Back row,1990-09-01,30,5,Scotland
Rob Harley,Back row,1990-05-26,30,22,Scotland
Ally Miller,Back row,1996-05-10,24,0,Scotland
Ben Muncaster,Back row,2001-10-14,19,0,Scotland
Charlie Shiel,Scrum-half,1997-12-03,23,0,Scotland
Adam Hastings,Fly-half,1996-10-05,24,22,Scotland
Matt Currie,Centre,2001-02-22,19,0,Scotland
Sam Johnson,Centre,1993-06-19,27,15,Scotland
George Taylor,Centre,1996-11-24,24,0,Scotland
Damien Hoyland,Fullback,1994-01-11,27,4,Scotland
Elliot Dee,Hooker,1994-03-07,26,32,Wales
Ryan Elias,Hooker,1995-01-07,26,13,Wales
Ken Owens,Hooker,1987-01-03,34,77,Wales
Leon Brown,Prop,1996-10-26,24,12,Wales
Rhys Carré,Prop,1998-02-08,22,12,Wales
Tomas Francis,Prop,1992-04-27,28,52,Wales
Wyn Jones,Prop,1992-02-26,28,30,Wales
Dillon Lewis,Prop,1996-01-04,25,40,Wales
Jake Ball,Lock,1991-06-21,29,49,Wales
Adam Beard,Lock,1996-01-07,25,21,Wales
Cory Hill,Lock,1992-02-10,28,29,Wales
Alun Wyn Jones (c),Lock,1985-09-19,35,143,Wales
Will Rowlands,Lock,1991-09-19,29,5,Wales
Taulupe Faletau,Back row,1990-11-12,30,81,Wales
Dan Lydiate,Back row,1987-12-18,33,62,Wales
Josh Macleod,Back row,1996-10-27,24,0,Wales
Josh Navidi,Back row,1990-12-30,30,24,Wales
Justin Tipuric,Back row,1989-08-06,31,80,Wales
Aaron Wainwright,Back row,1997-09-25,23,27,Wales
Gareth Davies,Scrum-half,1990-08-18,30,57,Wales
Kieran Hardy,Scrum-half,1995-11-30,25,2,Wales
Tomos Williams,Scrum-half,1995-01-01,26,20,Wales
Dan Biggar,Fly-half,1989-10-16,31,87,Wales
Jarrod Evans,Fly-half,1995-07-25,25,6,Wales
Callum Sheedy,Fly-half,1995-10-28,25,4,Wales
Jonathan Davies,Centre,1988-04-05,32,85,Wales
Nick Tompkins,Centre,1995-02-16,25,8,Wales
Owen Watkin,Centre,1996-10-12,24,23,Wales
Johnny Williams,Centre,1996-10-18,24,2,Wales
Josh Adams,Wing,1995-04-21,25,29,Wales
George North,Wing,1992-04-13,28,98,Wales
Louis Rees-Zammit,Wing,2001-02-02,20,4,Wales
Hallam Amos,Fullback,1994-09-24,26,22,Wales
Leigh Halfpenny,Fullback,1988-12-22,32,93,Wales
Liam Williams,Fullback,1991-04-09,29,67,Wales
