Player,Position,Date of Birth,Age,Caps,Team
Tom Dunn,Hooker,1992-11-12,25,0,England
Jamie George,Hooker,1990-10-20,27,20,England
Dylan Hartley (c),Hooker,1986-03-24,31,89,England
Lewis Boyce,Prop,1996-06-30,21,0,England
Dan Cole,Prop,1987-05-09,30,77,England
Alec Hepburn,Prop,1993-03-30,24,0,England
Kyle Sinckler,Prop,1993-03-30,24,8,England
Mako Vunipola,Prop,1991-01-14,27,44,England
Harry Williams,Prop,1991-10-01,26,5,England
Nick Isiekwe,Lock,1998-04-20,19,2,England
Maro Itoje,Lock,1994-10-28,23,14,England
George Kruis,Lock,1990-02-22,27,21,England
Joe Launchbury,Lock,1991-04-12,26,47,England
Courtney Lawes,Lock,1989-02-23,28,61,England
Gary Graham,Flanker,1992-08-29,25,0,England
Zach Mercer,Flanker,1997-02-28,20,0,England
Chris Robshaw,Flanker,1986-06-04,31,59,England
Sam Underhill,Flanker,1996-07-22,21,3,England
Sam Simmonds,Number 8,1994-11-10,23,3,England
Danny Care,Scrum-half,1987-01-02,31,76,England
Ben Youngs,Scrum-half,1989-09-05,28,73,England
George Ford,Fly-half,1993-03-16,24,40,England
Alex Lozowski,Fly-half,1993-06-30,24,4,England
Marcus Smith,Fly-half,1999-02-14,18,0,England
Owen Farrell,Centre,1991-09-24,26,53,England
Jonathan Joseph,Centre,1991-05-18,26,35,England
Henry Slade,Centre,1993-03-19,24,10,England
Ben Te'o,Centre,1987-01-27,31,8,England
Nathan Earle,Wing,1994-09-25,23,0,England
Jack Nowell,Wing,1993-04-11,24,23,England
Jonny May,Wing,1990-04-01,27,29,England
Denny Solomona,Wing,1993-09-27,24,2,England
Anthony Watson,Wing,1994-02-26,23,28,England
Mike Brown,Fullback,1985-09-04,32,64,England
Harry Mallinder,Fullback,1996-06-13,21,0,England
Luke Cowan-Dickie,Hooker,1993-06-20,24,6,England
Joe Marler,Prop,1990-07-07,27,72,England
Charlie Ewels,Lock,1995-06-29,22,6,England
Don Armand,Flanker,1988-09-23,29,1,England
James Haskell,Flanker,1985-04-02,32,75,England
Nathan Hughes,Number 8,1991-06-10,26,12,England
Sam Moore,Number 8,1998-09-09,19,0,England
Richard Wigglesworth,Scrum-half,1983-06-09,34,27,England
Gabriel Ibitoye,Centre,1998-03-05,19,0,England
Elliot Daly,Wing,1992-10-08,25,16,England
Camille Chat,Hooker,1995-12-18,22,10,France
Guilhem Guirado (c),Hooker,1986-06-17,31,56,France
Christopher Tolofua,Hooker,1993-12-31,24,7,France
Eddy Ben Arous,Prop,1990-08-25,27,19,France
Cedate Gomes Sa,Prop,1993-08-07,24,0,France
Jefferson Poirot,Prop,1992-11-01,25,14,France
Dany Priso,Prop,1994-01-02,24,0,France
Rabah Slimani,Prop,1989-10-18,28,41,France
Paul Gabrillagues,Lock,1993-06-03,24,2,France
Arthur Iturria,Lock,1994-05-13,23,1,France
Félix Lambey,Lock,1994-03-15,23,0,France
Sébastien Vahaamahina,Lock,1991-10-21,26,28,France
Yacouba Camara,Flanker,1994-06-02,23,6,France
Kevin Gourdon,Flanker,1990-01-23,28,15,France
Anthony Jelonch,Flanker,1996-07-28,21,2,France
Wenceslas Lauret,Flanker,1989-03-28,28,12,France
Sekou Macalou,Flanker,1995-04-20,22,1,France
Marco Tauleigne,Number 8,1993-08-30,24,0,France
Antoine Dupont,Scrum-half,1996-11-15,21,6,France
Maxime Machenaud,Scrum-half,1988-12-30,29,31,France
Morgan Parra,Scrum-half,1988-11-15,29,66,France
Anthony Belleau,Fly-half,1996-04-08,21,2,France
Matthieu Jalibert,Fly-half,1998-11-06,19,0,France
Henry Chavancy,Centre,1988-05-22,29,3,France
Jonathan Danty,Centre,1990-10-07,27,4,France
Geoffrey Doumayrou,Centre,1989-09-16,28,2,France
Rémi Lamerat,Centre,1990-01-14,28,16,France
Benjamin Fall,Wing,1989-03-03,28,6,France
Teddy Thomas,Wing,1993-09-18,24,8,France
Virimi Vakatawa,Wing,1992-05-01,25,15,France
Brice Dulin,Fullback,1990-04-13,27,29,France
Geoffrey Palis,Fullback,1991-07-08,26,0,France
Pierre Bougarit,Hooker,1997-09-12,25,0,France
Adrien Pélissié,Hooker,1990-08-07,27,0,France
Romain Taofifénua,Lock,1990-09-14,27,12,France
Mathieu Babillot,Flanker,1993-09-09,24,0,France
Alexandre Lapandry,Flanker,1989-04-13,28,10,France
Bernard Le Roux,Flanker,1989-06-04,28,27,France
Kélian Galletier,Number 8,1992-03-18,25,1,France
Louis Picamoles,Number 8,1986-02-05,31,68,France
Baptiste Couilloud,Scrum-half,1997-07-22,20,0,France
Baptiste Serin,Scrum-half,1994-06-20,23,16,France
Lionel Beauxis,Fly-half,1985-10-24,32,20,France
François Trinh-Duc,Fly-half,1986-11-11,31,63,France
Mathieu Bastareaud,Centre,1988-09-17,29,42,France
Gaël Fickou,Centre,1994-03-26,23,32,France
Rémy Grosso,Wing,1988-12-04,29,1,France
Yoann Huget,Wing,1987-06-02,35,51,France
Hugo Bonneval,Fullback,1990-11-19,27,9,France
Rory Best (c),Hooker,1982-08-15,35,106,Ireland
Seán Cronin,Hooker,1986-05-06,31,56,Ireland
Rob Herring,Hooker,1990-08-27,27,3,Ireland
Tadhg Furlong,Prop,1992-11-14,25,19,Ireland
Cian Healy,Prop,1987-10-07,30,73,Ireland
Dave Kilcoyne,Prop,1988-12-14,29,22,Ireland
Jack McGrath,Prop,1989-10-11,28,42,Ireland
Andrew Porter,Prop,1996-01-16,22,3,Ireland
John Ryan,Prop,1988-08-02,29,11,Ireland
Ultan Dillane,Lock,1993-11-09,24,11,Ireland
Iain Henderson,Lock,1992-02-21,25,34,Ireland
Quinn Roux,Lock,1990-10-30,27,3,Ireland
James Ryan,Lock,1996-07-24,21,4,Ireland
Devin Toner,Lock,1986-06-29,31,53,Ireland
Dan Leavy,Flanker,1994-05-23,23,4,Ireland
Jordi Murphy,Flanker,1991-04-22,26,18,Ireland
Peter O'Mahony,Flanker,1989-09-17,28,42,Ireland
Josh van der Flier,Flanker,1993-04-25,24,9,Ireland
Jack Conan,Number 8,1992-07-29,25,5,Ireland
CJ Stander,Number 8,1990-04-05,27,18,Ireland
Kieran Marmion,Scrum-half,1992-02-11,25,18,Ireland
Luke McGrath,Scrum-half,1993-02-03,25,6,Ireland
Conor Murray,Scrum-half,1989-04-20,28,59,Ireland
Joey Carbery,Fly-half,1995-11-01,22,6,Ireland
Ian Keatley,Fly-half,1987-04-01,30,7,Ireland
Johnny Sexton,Fly-half,1985-07-11,32,68,Ireland
Bundee Aki,Centre,1990-04-07,27,2,Ireland
Chris Farrell,Centre,1993-03-16,24,2,Ireland
Robbie Henshaw,Centre,1993-06-12,24,31,Ireland
Rory Scannell,Centre,1993-12-22,24,3,Ireland
Andrew Conway,Wing,1991-07-11,26,6,Ireland
Keith Earls,Wing,1987-10-02,30,62,Ireland
Fergus McFadden,Wing,1986-06-17,31,32,Ireland
Jacob Stockdale,Wing,1996-04-06,21,4,Ireland
Rob Kearney,Fullback,1986-03-26,31,78,Ireland
Jordan Larmour,Fullback,1997-06-10,20,0,Ireland
Niall Scannell,Hooker,1992-04-08,25,7,Ireland
James Cronin,Prop,1990-11-23,27,3,Ireland
John Cooney,Scrum-half,1990-05-01,27,1,Ireland
Garry Ringrose,Centre,1995-01-26,23,11,Ireland
Luca Bigi,Hooker,1991-04-19,26,6,Italy
Oliviero Fabiani,Hooker,1990-07-13,27,4,Italy
Leonardo Ghiraldini,Hooker,1984-12-26,33,89,Italy
Simone Ferrari,Prop,1994-03-28,23,8,Italy
Andrea Lovotti,Prop,1989-07-28,28,20,Italy
Tiziano Pasquali,Prop,1994-07-14,23,2,Italy
Nicola Quaglio,Prop,1991-03-09,26,2,Italy
Marco Riccioni,Prop,1997-10-19,20,0,Italy
George Biagi,Lock,1985-10-04,32,19,Italy
Dean Budd,Lock,1986-07-31,31,6,Italy
Federico Ruzza,Lock,1994-08-04,23,3,Italy
Alessandro Zanni,Lock,1984-01-31,34,99,Italy
Renato Giammarioli,Flanker,1995-03-23,22,1,Italy
Giovanni Licata,Flanker,1997-02-18,20,3,Italy
Maxime Mbanda,Flanker,1993-04-10,24,11,Italy
Sebastian Negri,Flanker,1994-06-30,23,2,Italy
Sergio Parisse (c),Number 8,1983-09-12,34,129,Italy
Braam Steyn,Number 8,1992-05-02,25,17,Italy
Edoardo Gori,Scrum-half,1990-03-05,27,65,Italy
Marcello Violi,Scrum-half,1993-10-11,24,8,Italy
Tommaso Allan,Fly-half,1993-04-26,24,33,Italy
Carlo Canna,Fly-half,1992-08-25,25,25,Italy
Ian McKinley,Fly-half,1989-12-04,28,3,Italy
Tommaso Benvenuti,Centre,1990-12-12,27,45,Italy
Giulio Bisegni,Centre,1992-04-04,25,7,Italy
Tommaso Boni,Centre,1993-01-15,25,8,Italy
Tommaso Castello,Centre,1991-08-14,26,5,Italy
Mattia Bellini,Wing,1994-02-08,23,8,Italy
Matteo Minozzi,Wing,1996-06-04,21,3,Italy
Jayden Hayward,Fullback,1987-02-11,30,3,Italy
Edoardo Padovani,Fullback,1993-05-15,24,14,Italy
Dario Chistolini,Prop,1988-09-14,29,20,Italy
Federico Zani,Prop,1989-04-09,28,6,Italy
Jake Polledri,Flanker,1995-11-08,22,0,Italy
Guglielmo Palazzani,Scrum-half,1991-04-11,26,22,Italy
Luca Morisi,Centre,1991-02-22,26,16,Italy
Scott Lawson,Hooker,1981-09-28,36,46,Scotland
Stuart McInally,Hooker,1990-08-09,27,12,Scotland
George Turner,Hooker,1991-01-03,27,2,Scotland
Simon Berghan,Prop,1990-12-07,27,5,Scotland
Jamie Bhatti,Prop,1993-09-08,24,3,Scotland
Murray McCallum,Prop,1996-03-16,21,0,Scotland
Gordon Reid,Prop,1987-03-04,30,27,Scotland
D'Arcy Rae,Prop,1994-12-21,23,0,Scotland
Jon Welsh,Prop,1986-10-13,31,11,Scotland
Grant Gilchrist,Lock,1990-08-09,27,18,Scotland
Jonny Gray,Lock,1994-03-14,23,38,Scotland
Richie Gray,Lock,1989-08-24,28,64,Scotland
Ben Toolis,Lock,1992-03-31,25,7,Scotland
John Barclay (c),Flanker,1986-09-24,31,66,Scotland
Magnus Bradbury,Flanker,1995-08-23,22,2,Scotland
Luke Hamilton,Flanker,1992-01-07,26,1,Scotland
Rob Harley,Flanker,1990-05-26,27,20,Scotland
Hamish Watson,Flanker,1991-10-15,26,15,Scotland
David Denton,Number 8,1990-02-05,27,35,Scotland
Cornell du Preez,Number 8,1991-03-23,26,5,Scotland
Ryan Wilson,Number 8,1989-05-18,28,32,Scotland
Nathan Fowles,Scrum-half,1993-04-08,24,0,Scotland
Greig Laidlaw,Scrum-half,1985-10-12,32,58,Scotland
Ali Price,Scrum-half,1993-05-12,24,11,Scotland
Henry Pyrgos,Scrum-half,1989-07-09,28,27,Scotland
Peter Horne,Fly-half,1989-10-05,28,28,Scotland
Ruaridh Jackson,Fly-half,1988-02-12,29,32,Scotland
Finn Russell,Fly-half,1992-09-23,25,32,Scotland
Mark Bennett,Centre,1993-02-03,25,20,Scotland
Alex Dunbar,Centre,1990-04-23,27,28,Scotland
Nick Grigg,Centre,1992-09-18,25,1,Scotland
Chris Harris,Centre,1990-12-28,27,1,Scotland
Huw Jones,Centre,1993-12-17,24,11,Scotland
Duncan Taylor,Centre,1989-09-05,28,21,Scotland
Lee Jones,Wing,1988-06-28,29,7,Scotland
Sean Maitland,Wing,1988-09-14,29,29,Scotland
Byron McGuigan,Wing,1989-08-20,28,2,Scotland
Tommy Seymour,Wing,1988-07-01,29,39,Scotland
Stuart Hogg,Fullback,1992-06-24,25,55,Scotland
Blair Kinghorn,Fullback,1997-01-18,21,0,Scotland
Ryan Elias,Hooker,1995-01-07,23,2,Scarlets
Rhodri Jones,Prop,1991-12-23,26,15,Wales
