Player,Position,Date of Birth,Age,Caps,Team
Tomos Williams,Scrum-half,1995-01-01,23,0,Wales
Scott Baldwin,Hooker,1988-07-12,29,34,Wales
Elliot Dee,Hooker,1994-03-07,23,2,Wales
Ken Owens,Hooker,1987-01-03,31,52,Wales
Rob Evans,Prop,1992-04-14,25,20,Wales
Tomas Francis,Prop,1992-04-27,25,26,Wales
Wyn Jones,Prop,1992-02-26,25,5,Wales
Samson Lee,Prop,1992-11-30,25,34,Wales
Dillon Lewis,Prop,1996-01-04,22,2,Wales
Nicky Smith,Prop,1994-04-07,23,16,Wales
Adam Beard,Lock,1996-01-07,22,2,Wales
Bradley Davies,Lock,1987-01-09,31,57,Wales
Seb Davies,Lock,1996-05-15,21,3,Wales
Cory Hill,Lock,1992-02-10,25,10,Wales
Alun Wyn Jones (c),Lock,1985-09-19,32,113,Wales
James Davies,Flanker,1990-10-25,27,0,Wales
Ellis Jenkins,Flanker,1993-04-29,24,5,Wales
Josh Navidi,Flanker,1990-12-30,27,7,Wales
Aaron Shingler,Flanker,1987-08-07,30,13,Wales
Justin Tipuric,Flanker,1989-08-06,28,52,Wales
Taulupe Faletau,Number 8,1990-11-12,27,70,Wales
Ross Moriarty,Number 8,1994-04-18,23,17,Wales
Aled Davies,Scrum-half,1992-07-19,25,5,Wales
Gareth Davies,Scrum-half,1990-08-18,27,27,Wales
Rhys Webb,Scrum-half,1988-12-09,29,31,Wales
Gareth Anscombe,Fly-half,1991-05-10,26,11,Wales
Dan Biggar,Fly-half,1989-10-16,28,60,Wales
Rhys Patchell,Fly-half,1993-05-17,24,5,Wales
Rhys Priestland,Fly-half,1987-01-09,31,50,Wales
Hadleigh Parkes,Centre,1987-10-05,30,1,Wales
Owen Watkin,Centre,1996-10-12,21,2,Wales
Owen Williams,Centre,1992-02-27,25,3,Wales
Scott Williams,Centre,1990-10-10,27,51,Wales
Josh Adams,Wing,1995-04-21,22,0,Wales
Hallam Amos,Wing,1994-09-24,23,15,Wales
Alex Cuthbert,Wing,1990-04-05,27,47,Wales
Steff Evans,Wing,1994-09-01,23,5,Wales
George North,Wing,1992-04-13,25,69,Wales
Leigh Halfpenny,Fullback,1988-12-22,29,74,Wales
Liam Williams,Fullback,1991-04-09,26,45,Wales
