Player,Position,Date of Birth,Age,Caps,Team
Tiziano Pasquali,Prop,1994-07-14,24,13,Italy
Cherif Traorè,Prop,1994-04-10,24,5,Italy
Giosuè Zilocchi,Prop,1997-01-15,22,2,Italy
Dean Budd,Lock,1986-07-31,32,16,Italy
Federico Ruzza,Lock,1994-08-04,24,7,Italy
Dave Sisi,Lock,1993-02-05,25,0,Italy
Alessandro Zanni,Lock,1984-01-31,35,109,Italy
Marco Barbini,Back row,1990-10-16,28,2,Italy
Maxime Mbanda,Back row,1993-04-10,25,15,Italy
Sebastian Negri,Back row,1994-06-30,24,12,Italy
Sergio Parisse (c),Back row,1983-09-12,35,134,Italy
Braam Steyn,Back row,1992-05-02,26,25,Italy
Jimmy Tuivaiti,Back row,1988-01-02,31,1,Italy
Guglielmo Palazzani,Scrum-half,1991-04-11,27,28,Italy
Tito Tebaldi,Scrum-half,1987-09-23,31,29,Italy
Tommaso Allan,Fly-half,1993-04-26,25,43,Italy
Carlo Canna,Fly-half,1992-08-25,26,32,Italy
Ian McKinley,Fly-half,1989-12-04,29,4,Italy
Giulio Bisegni,Centre,1992-04-04,26,11,Italy
Michele Campagnaro,Centre,1993-03-13,25,38,Italy
Tommaso Castello,Centre,1991-08-14,27,15,Italy
Luca Morisi,Centre,1991-02-22,27,20,Italy
Tommaso Benvenuti,Wing,1990-12-12,28,55,Italy
Angelo Esposito,Wing,1993-06-14,25,15,Italy
Luca Sperandio,Wing,1996-01-28,23,5,Italy
Jayden Hayward,Fullback,1987-02-11,31,12,Italy
Edoardo Padovani,Fullback,1993-05-15,25,15,Italy
Oliviero Fabiani,Hooker,1990-07-03,28,7,Italy
Engjel Makelara,Hooker,1996-08-22,22,0,Italy
Nicola Quaglio,Prop,1991-03-09,27,8,Italy
Marco Riccioni,Prop,1997-10-19,21,0,Italy
Marco Fuser,Lock,1991-03-09,27,33,Italy
Jake Polledri,Back row,1995-11-08,23,6,Italy
Edoardo Gori,Scrum-half,1990-05-05,28,68,Italy
Marco Zanon,Centre,1997-10-03,21,0,Italy
David Cherry,Hooker,1991-01-03,28,0,Scotland
Jake Kerr,Hooker,1996-04-13,22,0,Scotland
Stuart McInally,Hooker,1990-08-09,28,22,Scotland
Grant Stewart,Hooker,1995-02-28,23,0,Scotland
Alex Allan,Prop,1992-02-29,26,7,Scotland
Simon Berghan,Prop,1990-12-07,28,14,Scotland
Jamie Bhatti,Prop,1993-09-08,25,11,Scotland
Allan Dell,Prop,1992-03-16,26,17,Scotland
WP Nel,Prop,1986-04-30,32,26,Scotland
D'Arcy Rae,Prop,1994-12-21,24,0,Scotland
Grant Gilchrist,Lock,1990-08-09,28,28,Scotland
Jonny Gray,Lock,1994-03-14,24,47,Scotland
Sam Skinner,Lock,1994-11-10,24,3,Scotland
Tim Swinson,Lock,1987-02-17,31,38,Scotland
Ben Toolis,Lock,1992-03-31,26,14,Scotland
Adam Ashe,Back row,1993-07-24,25,6,Scotland
Gary Graham,Back row,1992-08-29,26,0,Scotland
John Hardie,Back row,1988-07-27,30,16,Scotland
Jamie Ritchie,Back row,1996-08-16,22,6,Scotland
Josh Strauss,Back row,1986-10-23,32,17,Scotland
Hamish Watson,Back row,1991-10-15,27,23,Scotland
Ryan Wilson,Back row,1989-05-18,29,41,Scotland
George Horne,Scrum-half,1995-05-12,23,4,Scotland
Greig Laidlaw (c),Scrum-half,1985-10-12,33,66,Scotland
Ali Price,Scrum-half,1993-05-12,25,19,Scotland
Adam Hastings,Fly-half,1996-10-05,22,7,Scotland
Finn Russell,Fly-half,1992-09-23,26,40,Scotland
Chris Dean,Centre,1994-03-15,24,0,Scotland
Nick Grigg,Centre,1992-09-18,26,6,Scotland
Chris Harris,Centre,1990-12-28,28,6,Scotland
Peter Horne,Centre,1989-10-05,29,38,Scotland
Sam Johnson,Centre,1993-06-19,25,0,Scotland
Huw Jones,Centre,1993-12-17,25,19,Scotland
Darcy Graham,Wing,1997-06-21,21,1,Scotland
Lee Jones,Wing,1988-06-28,30,10,Scotland
Sean Maitland,Wing,1988-09-14,30,37,Scotland
Tommy Seymour,Wing,1988-07-01,30,46,Scotland
Stuart Hogg,Fullback,1992-06-24,26,65,Scotland
Blair Kinghorn,Fullback,1997-01-18,22,7,Scotland
Fraser Brown,Hooker,1989-06-20,29,38,Scotland
George Turner,Hooker,1992-10-08,26,5,Scotland
Zander Fagerson,Prop,1996-01-19,23,18,Scotland
Murray McCallum,Prop,1996-03-16,22,3,Scotland
Gordon Reid,Prop,1987-03-04,32,33,Scotland
Magnus Bradbury,Back row,1995-08-23,23,4,Scotland
Luke Crosbie,Back row,1997-04-22,21,0,Scotland
Matt Fagerson,Back row,1998-07-16,20,3,Scotland
Rob Harley,Back row,1990-05-26,28,20,Scotland
Matt Smith,Back row,1996-10-05,22,0,Scotland
Henry Pyrgos,Scrum-half,1989-07-09,29,27,Scotland
Duncan Weir,Fly-half,1991-05-10,27,27,Scotland
Alex Dunbar,Centre,1990-04-23,28,31,Scotland
James Johnstone,Centre,1990-04-17,28,0,Scotland
Stafford McDowall,Centre,1998-02-24,20,0,Scotland
Dougie Fife,Wing,1990-08-08,28,8,Scotland
Rory Hughes,Wing,1993-03-04,25,4,Scotland
Byron McGuigan,Wing,1986-10-23,32,6,Scotland
Kyle Steyn,Wing,1994-01-21,25,0,Scotland
Ruaridh Jackson,Fullback,1988-02-12,31,33,Scotland
Elliot Dee,Hooker,1994-03-07,24,12,Wales
Ryan Elias,Hooker,1995-01-07,24,6,Wales
Ken Owens,Hooker,1987-01-03,32,59,Wales
Leon Brown,Prop,1996-10-26,22,5,Wales
Rob Evans,Prop,1992-04-14,26,30,Wales
Tomas Francis,Prop,1992-04-27,26,35,Wales
Wyn Jones,Prop,1992-02-26,26,10,Wales
Samson Lee,Prop,1992-11-30,26,38,Wales
Dillon Lewis,Prop,1996-01-04,23,7,Wales
Nicky Smith,Prop,1994-04-07,24,23,Wales
Jake Ball,Lock,1991-06-27,27,29,Wales
Adam Beard,Lock,1996-01-07,23,7,Wales
Seb Davies,Lock,1996-05-17,22,7,Wales
Cory Hill,Lock,1992-02-10,26,21,Wales
Alun Wyn Jones (c),Lock,1985-09-19,33,119,Wales
Ross Moriarty,Back row,1994-04-18,24,25,Wales
Josh Navidi,Back row,1990-12-30,28,11,Wales
Justin Tipuric,Back row,1989-08-06,29,59,Wales
Josh Turnbull,Back row,1988-03-12,30,10,Wales
Aaron Wainwright,Back row,1997-09-25,21,2,Wales
Thomas Young,Back row,1992-05-18,26,2,Wales
Aled Davies,Scrum-half,1992-07-19,26,12,Wales
Gareth Davies,Scrum-half,1990-08-18,28,35,Wales
Tomos Williams,Scrum-half,1995-01-01,24,5,Wales
Gareth Anscombe,Fly-half,1991-05-10,27,20,Wales
Dan Biggar,Fly-half,1989-10-16,29,64,Wales
Jarrod Evans,Fly-half,1996-07-25,22,1,Wales
Rhys Patchell,Fly-half,1993-05-17,25,11,Wales
Jonathan Davies,Centre,1988-04-05,30,67,Wales
Hadleigh Parkes,Centre,1987-10-05,31,10,Wales
Owen Watkin,Centre,1996-10-12,22,7,Wales
Scott Williams,Centre,1990-10-10,28,57,Wales
Josh Adams,Wing,1995-04-21,23,5,Wales
Hallam Amos,Wing,1994-09-24,24,18,Wales
Steff Evans,Wing,1994-09-01,24,12,Wales
Jonah Holmes,Wing,1992-07-24,26,1,Wales
George North,Wing,1992-04-13,26,78,Wales
Leigh Halfpenny,Fullback,1988-12-22,30,80,Wales
Liam Williams,Fullback,1991-04-09,27,50,Wales
