Player,Position,Date of Birth,Age,Caps,Team
Luke Cowan-Dickie,Hooker,1993-06-20,25,9,England
Jamie George,Hooker,1990-10-20,28,32,England
Jack Singleton,Hooker,1996-05-14,22,0,England
Dan Cole,Prop,1987-05-09,31,82,England
Ellis Genge,Prop,1995-02-16,23,5,England
Ben Moon,Prop,1989-07-15,29,4,England
Kyle Sinckler,Prop,1992-03-30,26,17,England
Mako Vunipola,Prop,1991-01-14,28,52,England
Harry Williams,Prop,1991-12-01,27,14,England
Maro Itoje,Lock,1994-10-28,24,26,England
George Kruis,Lock,1990-02-22,28,27,England
Joe Launchbury,Lock,1991-04-12,27,54,England
Courtney Lawes,Lock,1989-02-23,29,68,England
Tom Curry,Back row,1998-06-15,20,5,England
Jack Clifford,Back row,1993-02-12,25,7,England
Ben Earl,Back row,1998-01-07,21,0,England
Nathan Hughes,Back row,1991-06-10,27,17,England
Brad Shields,Back row,1991-04-02,27,5,England
Billy Vunipola,Back row,1992-11-03,26,36,England
Mark Wilson,Back row,1989-10-06,29,8,England
Dan Robson,Scrum-half,1992-03-14,26,0,England
Ben Youngs,Scrum-half,1989-09-05,29,80,England
George Ford,Fly-half,1993-03-16,25,51,England
Owen Farrell (c),Fly-half,1991-09-24,27,65,England
Henry Slade,Centre,1993-03-19,25,17,England
Ollie Devoto,Centre,1993-09-22,25,1,England
Ben Te'o,Centre,1987-01-27,32,16,England
Manu Tuilagi,Centre,1991-05-18,27,27,England
Chris Ashton,Wing,1987-03-29,31,42,England
Joe Cokanasiga,Wing,1997-11-15,21,2,England
Elliot Daly,Wing,1992-10-08,26,25,England
Jonny May,Wing,1990-04-01,28,40,England
Jack Nowell,Wing,1993-04-11,25,29,England
Ollie Thorley,Wing,1996-09-11,22,0,England
Mike Brown,Fullback,1985-09-04,33,72,England
Nick Isiekwe,Lock,1998-04-20,20,3,England
Chris Robshaw,Back row,1986-06-04,32,66,England
Jonathan Joseph,Centre,1991-05-21,27,40,England
Pierre Bourgarit,Hooker,1997-09-12,21,1,France
Guilhem Guirado (c),Hooker,1986-06-17,32,63,France
Julien Marchand,Hooker,1995-05-10,23,1,France
Dorian Aldegheri,Prop,1993-08-04,25,0,France
Uini Atonio,Prop,1990-03-26,28,31,France
Demba Bamba,Prop,1998-03-17,20,1,France
Jefferson Poirot,Prop,1992-11-01,26,22,France
Dany Priso,Prop,1994-01-02,25,10,France
Arthur Iturria,Lock,1994-05-13,24,6,France
Félix Lambey,Lock,1994-03-15,24,2,France
Sébastien Vahaamahina,Lock,1991-10-21,27,36,France
Paul Willemse,Lock,1992-11-13,26,0,France
Gregory Alldritt,Back row,1997-03-23,21,0,France
Yacouba Camara,Back row,1994-06-02,24,11,France
Wenceslas Lauret,Back row,1988-03-30,30,20,France
Bernard Le Roux,Back row,1989-06-04,29,11,France
Louis Picamoles,Back row,1986-02-05,32,72,France
Antoine Dupont,Scrum-half,1996-11-15,22,10,France
Morgan Parra,Scrum-half,1988-11-15,30,69,France
Baptiste Serin,Scrum-half,1994-06-20,24,23,France
Anthony Belleau,Fly-half,1996-04-08,22,10,France
Camille Lopez,Fly-half,1989-04-03,29,19,France
Romain Ntamack,Fly-half,1999-05-01,19,0,France
Mathieu Bastareaud,Centre,1988-09-17,30,50,France
Geoffrey Doumayrou,Centre,1989-09-16,29,10,France
Gaël Fickou,Centre,1994-03-26,24,41,France
Wesley Fofana,Centre,1988-01-20,31,45,France
Damian Penaud,Centre,1996-09-25,22,6,France
Yoann Huget,Wing,1987-06-02,31,53,France
Maxime Médard,Fullback,1986-11-16,32,52,France
Thomas Ramos,Fullback,1995-07-23,23,0,France
Camille Chat,Hooker,1995-12-18,23,16,France
Etienne Falgoux,Prop,1993-01-19,26,0,France
Kélian Galletier,Back row,1992-03-18,26,6,France
Fabien Sanconnie,Back row,1995-02-21,23,5,France
Rory Best (c),Hooker,1982-08-15,36,113,Ireland
Seán Cronin,Hooker,1986-05-06,32,65,Ireland
Niall Scannell,Hooker,1992-04-08,26,11,Ireland
Tadhg Furlong,Prop,1992-11-14,26,28,Ireland
Cian Healy,Prop,1987-10-07,31,84,Ireland
Dave Kilcoyne,Prop,1988-12-14,30,24,Ireland
Jack McGrath,Prop,1989-10-11,29,53,Ireland
Andrew Porter,Prop,1996-01-16,23,11,Ireland
John Ryan,Prop,1988-08-02,30,16,Ireland
Tadhg Beirne,Lock,1992-01-08,27,4,Ireland
Ultan Dillane,Lock,1993-11-09,25,11,Ireland
Iain Henderson,Lock,1992-02-21,26,42,Ireland
James Ryan,Lock,1996-07-24,22,13,Ireland
Devin Toner,Lock,1986-06-29,32,63,Ireland
Jack Conan,Back row,1992-07-29,26,11,Ireland
Jordi Murphy,Back row,1991-04-22,27,26,Ireland
Seán O'Brien,Back row,1987-02-14,31,52,Ireland
Peter O'Mahony (vc),Back row,1989-09-17,29,52,Ireland
Rhys Ruddock,Back row,1990-11-13,28,21,Ireland
CJ Stander,Back row,1990-04-05,28,28,Ireland
Josh van der Flier,Back row,1993-04-25,25,13,Ireland
Caolin Blade,Scrum-half,1994-04-29,24,0,Ireland
John Cooney,Scrum-half,1990-05-01,28,4,Ireland
Conor Murray,Scrum-half,1989-04-20,29,67,Ireland
Joey Carbery,Fly-half,1995-11-01,23,16,Ireland
Jack Carty,Fly-half,1992-08-31,26,0,Ireland
Johnny Sexton (vc),Fly-half,1985-07-11,33,78,Ireland
Will Addison,Centre,1992-08-20,26,3,Ireland
Bundee Aki,Centre,1990-04-07,28,12,Ireland
Chris Farrell,Centre,1993-03-16,25,3,Ireland
Tom Farrell,Centre,1993-10-01,25,0,Ireland
Robbie Henshaw,Centre,1993-06-12,25,36,Ireland
Garry Ringrose,Centre,1995-01-26,24,17,Ireland
Andrew Conway,Wing,1991-07-11,27,10,Ireland
Keith Earls,Wing,1987-10-02,31,72,Ireland
Jacob Stockdale,Wing,1996-04-06,22,14,Ireland
Rob Kearney,Fullback,1986-03-26,32,87,Ireland
Jordan Larmour,Fullback,1997-06-10,21,9,Ireland
Quinn Roux,Lock,1990-10-30,28,7,Ireland
Luca Bigi,Hooker,1991-04-19,27,15,Italy
Leonardo Ghiraldini,Hooker,1984-12-26,34,99,Italy
Simone Ferrari,Prop,1994-03-28,24,17,Italy
Andrea Lovotti,Prop,1989-07-28,29,30,Italy
