Player,Position,Date of Birth,Age,Caps,Team
Luke Cowan-Dickie,Hooker,1993-06-20,22,1,England
Jamie George,Hooker,1990-10-22,25,3,England
Dylan Hartley (c),Hooker,1986-03-24,29,66,England
Dan Cole,Prop,1987-05-09,28,56,England
Paul Hill,Prop,1995-03-02,20,0,England
Joe Marler,Prop,1990-07-07,25,37,England
Matt Mullan,Prop,1987-02-23,28,9,England
Henry Thomas,Prop,1991-10-30,24,7,England
Mako Vunipola,Prop,1991-01-13,25,27,England
Maro Itoje,Lock,1994-10-28,21,0,England
George Kruis,Lock,1990-02-22,25,10,England
Joe Launchbury,Lock,1991-04-12,24,28,England
Courtney Lawes,Lock,1989-02-23,26,42,England
Jack Clifford,Flanker,1993-02-12,22,0,England
James Haskell,Flanker,1985-04-02,30,62,England
Matt Kvesic,Flanker,1992-04-14,23,2,England
Chris Robshaw,Flanker,1986-06-04,29,43,England
Josh Beaumont,Number 8,1992-03-24,23,0,England
Billy Vunipola,Number 8,1992-11-03,23,21,England
Danny Care,Scrum-half,1987-01-02,29,53,England
Ben Youngs,Scrum-half,1989-09-05,26,52,England
Owen Farrell,Fly-half,1991-09-24,24,35,England
George Ford,Fly-half,1993-03-16,22,17,England
Elliot Daly,Centre,1992-10-08,23,0,England
Ollie Devoto,Centre,1993-09-22,22,0,England
Sam Hill,Centre,1993-07-14,22,0,England
Jonathan Joseph,Centre,1991-05-21,24,16,England
Chris Ashton,Wing,1987-03-29,28,39,England
Jack Nowell,Wing,1993-04-11,22,10,England
Anthony Watson,Wing,1994-02-26,21,15,England
Marland Yarde,Wing,1992-04-20,23,7,England
Mike Brown,Fullback,1985-09-04,30,43,England
Alex Goode,Fullback,1988-05-07,27,19,England
Kieran Brookes,Prop,1990-08-29,25,15,England
Ed Slater,Lock,1988-08-01,27,0,England
Dave Ewers,Number 8,1990-11-03,25,0,England
Luther Burrell,Centre,1987-12-06,28,13,England
Manu Tuilagi,Centre,1991-05-18,24,25,England
Semesa Rokoduguni,Wing,1987-08-28,28,1,England
Camille Chat,Hooker,1995-12-18,20,0,France
Guilhem Guirado (c),Hooker,1986-06-17,29,38,France
Uini Atonio,Prop,1990-03-26,25,10,France
Eddy Ben Arous,Prop,1990-08-25,25,12,France
Jefferson Poirot,Prop,1992-11-01,23,0,France
Rabah Slimani,Prop,1989-10-18,26,21,France
Alexandre Flanquart,Lock,1989-10-09,26,18,France
Paul Jedrasiak,Lock,1993-02-17,22,0,France
Yoann Maestri,Lock,1988-01-14,28,42,France
Sébastien Vahaamahina,Lock,1991-10-21,24,17,France
Antoine Burban,Flanker,1987-07-22,28,3,France
Yacouba Camara,Flanker,1994-06-02,21,0,France
Kevin Gourdon,Flanker,1990-01-23,26,0,France
Wenceslas Lauret,Flanker,1989-03-28,26,7,France
Damien Chouly,Number 8,1985-11-27,30,36,France
Louis Picamoles,Number 8,1986-02-05,30,51,France
Sébastien Bezy,Scrum-half,1991-11-22,24,0,France
Maxime Machenaud,Scrum-half,1988-12-30,27,18,France
Morgan Parra,Scrum-half,1988-11-15,27,66,France
Jean-Marc Doussain,Fly-half,1991-02-12,24,10,France
Jules Plisson,Fly-half,1991-08-20,24,6,France
Jonathan Danty,Centre,1992-10-07,23,0,France
Alexandre Dumoulin,Centre,1989-08-24,26,8,France
Gaël Fickou,Centre,1994-03-26,21,15,France
Rémi Lamerat,Centre,1990-01-14,26,7,France
Wesley Fofana,Centre,1988-01-20,28,39,France
Benjamin Fall,Wing,1989-03-03,26,6,France
Maxime Médard,Wing,1986-11-16,29,41,France
Virimi Vakatawa,Wing,1992-05-01,23,0,France
Hugo Bonneval,Fullback,1990-11-19,25,4,France
Scott Spedding,Fullback,1986-05-04,29,14,France
Xavier Chiocci,Prop,1990-02-13,25,4,France
Vincent Pelo,Prop,1988-04-22,27,0,France
Bernard Le Roux,Flanker,1989-06-04,26,23,France
Loann Goujon,Number 8,1989-04-23,26,6,France
Baptiste Serin,Scrum-half,1994-06-20,21,0,France
François Trinh-Duc,Fly-half,1986-11-11,29,50,France
Maxime Mermoz,Centre,1986-07-28,29,30,France
Djibril Camara,Wing,1989-06-22,26,0,France
Marvin O'Connor,Wing,1991-04-18,24,0,France
Teddy Thomas,Wing,1991-04-18,24,4,France
Rory Best (c),Hooker,1982-08-15,33,89,Ireland
Seán Cronin,Hooker,1986-05-06,29,48,Ireland
Rob Herring,Hooker,1990-04-27,25,1,Ireland
Richardt Strauss,Hooker,1986-01-29,30,13,Ireland
James Cronin,Prop,1990-11-23,25,2,Ireland
Tadhg Furlong,Prop,1992-11-14,23,3,Ireland
Jack McGrath,Prop,1989-10-11,26,25,Ireland
Marty Moore,Prop,1991-03-01,24,10,Ireland
Nathan White,Prop,1981-09-04,34,8,Ireland
Ultan Dillane,Lock,1993-11-09,22,0,Ireland
Mike McCarthy,Lock,1981-11-27,34,17,Ireland
Donnacha Ryan,Lock,1983-12-11,32,34,Ireland
Devin Toner,Lock,1986-06-29,29,31,Ireland
Seán O'Brien,Flanker,1987-02-14,28,41,Ireland
Tommy O'Donnell,Flanker,1987-05-21,28,9,Ireland
Rhys Ruddock,Flanker,1990-11-13,25,6,Ireland
Josh van der Flier,Flanker,1993-04-25,22,0,Ireland
Jamie Heaslip,Number 8,1983-12-15,32,80,Ireland
CJ Stander,Number 8,1990-04-05,25,0,Ireland
Kieran Marmion,Scrum-half,1992-02-11,23,4,Ireland
Conor Murray,Scrum-half,1989-04-20,26,42,Ireland
Eoin Reddan,Scrum-half,1980-11-20,35,68,Ireland
Paddy Jackson,Fly-half,1992-01-05,24,13,Ireland
Ian Madigan,Fly-half,1989-03-21,26,25,Ireland
Johnny Sexton,Fly-half,1985-07-11,30,56,Ireland
Robbie Henshaw,Centre,1993-06-12,22,15,Ireland
Luke Marshall,Centre,1991-03-03,24,6,Ireland
Stuart McCloskey,Centre,1992-08-06,23,0,Ireland
Jared Payne,Centre,1985-10-13,30,10,Ireland
Keith Earls,Wing,1987-10-02,28,46,Ireland
Luke Fitzgerald,Wing,1987-09-13,28,34,Ireland
Dave Kearney,Wing,1989-06-19,26,14,Ireland
Andrew Trimble,Wing,1984-10-20,31,58,Ireland
Simon Zebo,Wing,1990-03-16,25,21,Ireland
Rob Kearney,Fullback,1986-03-26,29,67,Ireland
Finlay Bealham,Prop,1991-10-09,24,0,Ireland
Cian Healy,Prop,1987-10-07,28,56,Ireland
Mike Ross,Prop,1979-12-21,36,56,Ireland
Dave Foley,Lock,1988-05-16,27,2,Ireland
Jordi Murphy,Flanker,1991-04-22,24,14,Ireland
Jack O'Donoghue,Flanker,1994-01-08,22,0,Ireland
Craig Gilroy,Wing,1991-03-11,24,6,Ireland
