Player,Position,Date of Birth,Age,Caps,Team
Fergus McFadden,Wing,1986-06-17,29,29,Ireland
Ornel Gega,Hooker,1990-03-24,25,0,Italy
Leonardo Ghiraldini,Hooker,1984-12-26,31,80,Italy
Martin Castrogiovanni,Prop,1981-10-21,34,115,Italy
Dario Chistolini,Prop,1988-09-14,27,13,Italy
Lorenzo Cittadini,Prop,1982-12-17,33,44,Italy
Andrea Lovotti,Prop,1989-07-28,26,0,Italy
Matteo Zanusso,Prop,1993-04-09,22,0,Italy
Valerio Bernabò,Lock,1984-03-03,31,27,Italy
George Biagi,Lock,1985-10-04,30,8,Italy
Marco Fuser,Lock,1991-03-09,24,6,Italy
Francesco Minto,Flanker,1987-05-20,28,23,Italy
Jacopo Sarto,Flanker,1990-07-15,25,0,Italy
Braam Steyn,Flanker,1992-05-02,23,0,Italy
Alessandro Zanni,Flanker,1984-01-31,32,94,Italy
Sergio Parisse (c),Number 8,1983-09-12,32,114,Italy
Dries van Schalkwyk,Number 8,1984-12-21,31,0,Italy
Edoardo Gori,Scrum-half,1990-03-05,25,47,Italy
Guglielmo Palazzani,Scrum-half,1991-04-11,24,15,Italy
Carlo Canna,Fly-half,1992-08-25,23,7,Italy
Edoardo Padovani,Fly-half,1993-05-15,22,0,Italy
Giulio Bisegni,Centre,1992-04-04,23,2,Italy
Michele Campagnaro,Centre,1993-03-13,22,18,Italy
Tommaso Castello,Centre,1991-08-14,24,0,Italy
Gonzalo García,Centre,1984-02-18,31,39,Italy
Kelly Haimona,Centre,1986-07-30,29,7,Italy
Andrea Pratichetti,Centre,1988-11-26,27,1,Italy
Mattia Bellini,Wing,1994-02-08,21,0,Italy
David Odiete,Wing,1993-02-24,22,0,Italy
Leonardo Sarto,Wing,1992-01-15,24,23,Italy
Luke McLean,Fullback,1987-06-29,28,75,Italy
Oliviero Fabiani,Hooker,1990-07-13,25,0,Italy
Davide Giazzon,Hooker,1986-01-16,30,24,Italy
Pietro Ceccarelli,Prop,1992-02-16,23,0,Italy
Joshua Furno,Lock,1989-10-21,26,35,Italy
Quintin Geldenhuys,Lock,1981-06-19,34,61,Italy
Robert Barbieri,Flanker,1984-06-05,31,39,Italy
Alberto Lucchese,Scrum-half,1986-03-28,29,0,Italy
Tommaso Allan,Fly-half,1993-04-26,22,21,Italy
Luca Morisi,Centre,1991-02-22,24,16,Italy
Andrea Buondonno,Wing,1992-01-01,24,0,Italy
Ross Ford,Hooker,1984-04-23,31,94,Scotland
Pat MacArthur,Hooker,1987-04-27,28,6,Scotland
Stuart McInally,Hooker,1990-08-09,25,2,Scotland
Alasdair Dickinson,Prop,1983-09-11,32,52,Scotland
Zander Fagerson,Prop,1996-01-19,20,0,Scotland
Moray Low,Prop,1984-11-28,31,29,Scotland
WP Nel,Prop,1986-04-30,29,8,Scotland
Gordon Reid,Prop,1987-03-04,28,15,Scotland
Rory Sutherland,Prop,1992-08-24,23,0,Scotland
Jonny Gray,Lock,1994-03-14,21,19,Scotland
Richie Gray,Lock,1989-08-24,26,51,Scotland
Tim Swinson,Lock,1987-02-17,28,17,Scotland
Ben Toolis,Lock,1992-03-31,23,1,Scotland
John Barclay,Flanker,1986-09-24,29,45,Scotland
Blair Cowan,Flanker,1986-04-21,29,15,Scotland
Chris Fusaro,Flanker,1989-07-21,26,4,Scotland
John Hardie,Flanker,1988-07-27,27,5,Scotland
Josh Strauss,Flanker,1986-10-23,29,5,Scotland
Adam Ashe,Number 8,1993-07-24,22,6,Scotland
David Denton,Number 8,1990-02-05,26,32,Scotland
Sam Hidalgo-Clyne,Scrum-half,1993-08-04,22,8,Scotland
Greig Laidlaw (c),Scrum-half,1985-10-12,30,46,Scotland
Finn Russell,Fly-half,1992-09-23,23,15,Scotland
Duncan Weir,Fly-half,1991-05-10,24,21,Scotland
Mark Bennett,Centre,1993-02-03,23,13,Scotland
Alex Dunbar,Centre,1990-04-23,25,14,Scotland
Peter Horne,Centre,1989-10-05,26,15,Scotland
Matt Scott,Centre,1990-09-30,25,33,Scotland
Duncan Taylor,Centre,1989-09-05,26,12,Scotland
Sean Lamont,Wing,1981-01-15,35,101,Scotland
Sean Maitland,Wing,1988-09-14,27,20,Scotland
Tommy Seymour,Wing,1988-07-01,27,22,Scotland
Tim Visser,Wing,1987-05-29,28,23,Scotland
Ruaridh Jackson,Fullback,1988-02-12,27,27,Scotland
Stuart Hogg,Fullback,1992-06-24,30,38,Scotland
Fraser Brown,Hooker,1989-06-20,26,15,Scotland
George Turner,Hooker,1991-01-03,25,0,Scotland
Alex Allan,Prop,1992-02-28,23,1,Scotland
Rob Harley,Flanker,1990-05-26,32,17,Scotland
Hamish Watson,Flanker,1991-10-15,24,2,Scotland
Ryan Wilson,Number 8,1989-05-18,33,15,Scotland
Grayson Hart,Scrum-half,1988-06-19,27,3,Scotland
Henry Pyrgos,Scrum-half,1989-07-09,26,17,Scotland
Scott Baldwin ‡,Hooker,1988-07-12,27,15,Wales
Kristian Dacey,Hooker,1989-07-25,26,2,Wales
Ken Owens,Hooker,1987-01-03,29,34,Wales
Rob Evans,Prop,1992-04-14,23,3,Wales
Tomas Francis,Prop,1992-04-27,23,7,Wales
Paul James,Prop,1982-05-13,33,65,Wales
Aaron Jarvis,Prop,1986-05-20,29,16,Wales
Gethin Jenkins,Prop,1980-11-17,35,119,Wales
Samson Lee ‡,Prop,1992-11-30,23,17,Wales
Jake Ball ‡,Lock,1991-06-21,24,15,Wales
Luke Charteris,Lock,1983-03-09,32,62,Wales
Bradley Davies,Lock,1987-01-09,29,49,Wales
Dominic Day,Lock,1985-08-22,30,3,Wales
Alun Wyn Jones ‡,Lock,1985-09-19,30,94,Wales
Josh Turnbull,Flanker,1988-03-12,27,7,Wales
James King ‡,Flanker,1990-07-24,25,7,Wales
Dan Lydiate ‡,Flanker,1987-12-18,28,51,Wales
Ross Moriarty,Flanker,1994-04-18,21,4,Wales
Justin Tipuric,Flanker,1989-08-06,26,38,Wales
Sam Warburton (c) ‡,Flanker,1988-10-05,27,60,Wales
Taulupe Faletau,Number 8,1990-11-12,25,52,Wales
Aled Davies,Scrum-half,1992-07-19,23,0,Wales
Gareth Davies,Scrum-half,1990-08-18,25,9,Wales
Lloyd Williams,Scrum-half,1989-11-30,26,24,Wales
Dan Biggar ‡,Fly-half,1989-10-16,26,39,Wales
Rhys Priestland,Fly-half,1987-01-09,29,40,Wales
Cory Allen,Centre,1993-02-11,22,4,Wales
Jonathan Davies,Centre,1988-04-05,27,48,Wales
Tyler Morgan ‡,Centre,1995-09-11,20,3,Wales
Jamie Roberts,Centre,1986-11-08,35,74,Wales
Hallam Amos,Wing,1994-09-24,21,5,Wales
Alex Cuthbert,Wing,1990-04-05,25,40,Wales
Tom James,Wing,1987-04-17,28,10,Wales
George North,Wing,1992-04-13,23,55,Wales
Gareth Anscombe ‡,Fullback,1991-05-10,24,3,Wales
Matthew Morgan,Fullback,1992-04-23,23,5,Wales
Liam Williams,Fullback,1991-04-09,24,26,Wales
Rhys Webb ‡,Scrum-half,1988-12-09,27,16,Wales
