Player,Position,Date of Birth,Age,Caps,Team
Chris Henry,Flanker,1984-10-17,37,4,Ireland
Kevin McLaughlin,Flanker,1984-09-20,38,5,Ireland
Seán O'Brien,Flanker,1987-02-14,35,22,Ireland
Peter O'Mahony,Flanker,1989-09-17,33,9,Ireland
Rhys Ruddock*,Flanker,1990-11-13,31,1,Ireland
Jamie Heaslip (c),Number 8,1983-12-15,38,52,Ireland
Conor Murray,Scrum-half,1989-04-20,33,14,Ireland
Eoin Reddan,Scrum-half,1980-11-20,41,47,Ireland
Paddy Jackson,Fly-half,1992-01-05,30,0,Ireland
Ian Madigan*,Fly-half,1989-03-21,33,0,Ireland
Ronan O'Gara,Fly-half,1977-03-07,45,126,Ireland
Johnny Sexton,Fly-half,1985-07-11,37,34,Ireland
Darren Cave*,Centre,1987-04-05,35,3,Ireland
Gordon D'Arcy,Centre,1980-02-10,42,71,Ireland
Keith Earls,Centre,1987-10-02,34,34,Ireland
Fergus McFadden,Centre,1986-06-17,36,16,Ireland
Dave McSharry,Centre,1990-07-10,32,0,Ireland
Brian O'Driscoll,Centre,1979-01-21,43,120,Ireland
Luke Fitzgerald,Wing,1987-09-13,35,23,Ireland
Craig Gilroy,Wing,1991-03-11,31,1,Ireland
Andrew Trimble*,Wing,1984-10-20,37,49,Ireland
Simon Zebo,Wing,1990-03-16,32,3,Ireland
Robbie Henshaw*,Fullback,1993-06-12,29,0,Ireland
Rob Kearney,Fullback,1986-03-26,36,41,Ireland
Leonardo Ghiraldini,Hooker,1984-12-26,28,48,Italy
Davide Giazzon,Hooker,1986-01-16,27,5,Italy
Martin Castrogiovanni,Prop,1981-10-21,31,91,Italy
Lorenzo Cittadini,Prop,1982-12-17,30,16,Italy
Alberto de Marchi,Prop,1986-03-13,26,4,Italy
Andrea Lo Cicero,Prop,1976-05-07,36,98,Italy
Michele Rizzo,Prop,1982-09-16,30,5,Italy
Joshua Furno,Lock,1989-10-21,23,6,Italy
Quintin Geldenhuys,Lock,1981-06-19,31,33,Italy
Francesco Minto,Lock,1987-05-20,25,2,Italy
Antonio Pavanello,Lock,1982-10-13,30,13,Italy
Robert Barbieri,Flanker,1984-06-05,28,27,Italy
Mauro Bergamasco*,Flanker,1979-05-01,43,93,Italy
Paul Derbyshire,Flanker,1986-11-03,26,16,Italy
Simone Favaro,Flanker,1988-11-07,24,16,Italy
Alessandro Zanni,Flanker,1984-01-31,29,69,Italy
Sergio Parisse (c),Number 8,1983-09-12,29,91,Italy
Manoa Vosawai,Number 8,1983-08-12,29,10,Italy
Tobias Botes,Scrum-half,1984-04-26,28,8,Italy
Edoardo Gori,Scrum-half,1990-03-05,22,19,Italy
Kris Burton,Fly-half,1980-08-04,32,18,Italy
Luciano Orquera,Fly-half,1981-10-12,31,29,Italy
Gonzalo Canale,Centre,1982-11-11,30,77,Italy
Gonzalo García,Centre,1984-02-18,28,25,Italy
Andrea Masi,Centre,1981-03-30,31,72,Italy
Alberto Sgarbi,Centre,1986-11-26,26,23,Italy
Tommaso Benvenuti,Wing,1990-12-12,22,23,Italy
Tommaso Iannone,Wing,1990-09-16,22,1,Italy
Giovanbattista Venditti,Wing,1990-03-27,22,9,Italy
Paolo Buso,Fullback,1986-07-28,26,1,Italy
Luke McLean,Fullback,1987-06-29,25,41,Italy
Ross Ford,Hooker,1984-04-23,38,64,Scotland
Dougie Hall,Hooker,1980-09-24,42,39,Scotland
Pat MacArthur,Hooker,1987-04-27,35,0,Scotland
Geoff Cross,Prop,1982-12-11,39,17,Scotland
Alasdair Dickinson,Prop,1983-09-11,39,24,Scotland
Ryan Grant,Prop,1985-10-08,36,5,Scotland
Moray Low,Prop,1984-11-28,37,15,Scotland
Euan Murray,Prop,1980-08-07,42,49,Scotland
Grant Gilchrist,Lock,1990-08-09,32,0,Scotland
Richie Gray,Lock,1989-08-24,33,27,Scotland
Jim Hamilton,Lock,1982-11-17,39,41,Scotland
Alastair Kellock,Lock,1981-06-14,41,47,Scotland
Kelly Brown (c),Flanker,1982-06-08,40,52,Scotland
David Denton,Flanker,1990-02-05,32,9,Scotland
Chris Fusaro,Flanker,1989-07-21,33,10,Scotland
Rob Harley,Flanker,1990-05-26,32,1,Scotland
Alasdair Strokosch,Flanker,1983-02-21,39,30,Scotland
Richie Vernon,Flanker,1987-07-07,35,15,Scotland
Johnnie Beattie,Number 8,1985-11-21,36,16,Scotland
Ryan Wilson,Number 8,1989-05-18,33,0,Scotland
Sean Kennedy,Scrum-half,1991-04-24,31,0,Scotland
Greig Laidlaw,Scrum-half,1985-10-12,36,13,Scotland
Henry Pyrgos,Scrum-half,1989-07-09,33,3,Scotland
Tom Heathcote,Fly-half,1992-02-11,30,1,Scotland
Ruaridh Jackson,Fly-half,1988-02-12,34,15,Scotland
Duncan Weir,Fly-half,1991-05-10,31,2,Scotland
Alex Dunbar,Centre,1990-04-23,32,0,Scotland
Max Evans,Centre,1983-09-28,38,32,Scotland
Peter Horne,Centre,1989-10-05,32,0,Scotland
Matt Scott,Centre,1990-09-30,31,7,Scotland
Sean Lamont,Wing,1981-01-15,41,71,Scotland
Sean Maitland,Wing,1988-09-14,34,0,Scotland
Tommy Seymour,Wing,1988-07-01,34,0,Scotland
Tim Visser,Wing,1987-05-29,35,5,Scotland
Stuart Hogg,Fullback,1992-06-24,30,10,Scotland
Peter Murchie,Fullback,1986-01-07,36,0,Scotland
Richard Hibbard,Hooker,1983-12-13,38,19,Wales
Ken Owens,Hooker,1987-01-03,35,10,Wales
Matthew Rees,Hooker,1980-12-09,41,57,Wales
Scott Andrews,Prop,1989-08-01,33,5,Wales
Ryan Bevington,Prop,1988-12-09,33,8,Wales
Paul James,Prop,1982-05-13,40,40,Wales
Gethin Jenkins,Prop,1980-11-17,41,94,Wales
Adam Jones,Prop,1981-03-08,41,83,Wales
Craig Mitchell,Prop,1986-05-03,36,11,Wales
Andrew Coombs,Lock,1984-10-27,37,0,Wales
Ian Evans,Lock,1984-10-04,37,25,Wales
Alun Wyn Jones*,Lock,1985-09-19,37,67,Wales
James King,Lock,1990-07-24,32,0,Wales
Ollie Kohn,Lock,1981-05-19,41,0,Wales
Lou Reed,Lock,1987-09-10,35,2,Wales
Ryan Jones,Flanker,1981-03-13,41,70,Wales
Josh Navidi,Flanker,1990-12-30,31,0,Wales
Aaron Shingler,Flanker,1987-08-07,35,4,Wales
Justin Tipuric,Flanker,1989-08-06,33,10,Wales
Josh Turnbull,Flanker,1988-03-12,34,5,Wales
Sam Warburton (c),Flanker,1988-10-05,33,34,Wales
Taulupe Faletau,Number 8,1990-11-12,31,21,Wales
Andries Pretorius,Number 8,1985-09-26,37,0,Wales
Tavis Knoyle,Scrum-half,1990-06-02,32,9,Wales
Mike Phillips,Scrum-half,1982-08-29,40,72,Wales
Lloyd Williams,Scrum-half,1989-11-30,32,2,Wales
Dan Biggar,Fly-half,1989-10-16,32,11,Wales
James Hook,Fly-half,1985-06-27,37,67,Wales
Jonathan Davies,Centre,1988-04-05,34,31,Wales
Jamie Roberts,Centre,1986-11-08,35,48,Wales
Scott Williams,Centre,1990-10-10,31,16,Wales
Alex Cuthbert,Wing,1990-04-05,32,13,Wales
George North,Wing,1992-04-13,30,26,Wales
Eli Walker,Wing,1992-05-28,30,0,Wales
Lee Byrne,Fullback,1980-06-01,42,46,Wales
Leigh Halfpenny,Fullback,1988-12-22,33,39,Wales
Liam Williams,Fullback,1991-04-09,31,2,Wales
