Player,Position,Date of Birth,Age,Caps,Team
Dylan Hartley,Hooker,1986-03-24,26,42,England
Tom Youngs,Hooker,1987-01-28,26,4,England
Dan Cole,Prop,1987-05-09,25,35,England
Alex Corbisiero,Prop,1988-08-30,24,18,England
Joe Marler,Prop,1990-07-07,22,5,England
Mako Vunipola,Prop,1991-01-13,22,4,England
David Wilson,Prop,1985-04-09,27,22,England
Joe Launchbury,Lock,1991-04-12,21,4,England
Courtney Lawes,Lock,1989-02-23,23,15,England
Geoff Parling,Lock,1983-10-28,29,12,England
Calum Clark,Flanker,1989-06-10,23,0,England
Tom Croft,Flanker,1985-11-07,27,36,England
James Haskell,Flanker,1985-04-02,27,45,England
Tom Johnson,Flanker,1982-07-16,30,5,England
Chris Robshaw (c),Flanker,1986-06-04,26,12,England
Tom Wood,Flanker,1986-11-03,26,13,England
Ben Morgan,Number 8,1989-02-18,23,8,England
Thomas Waldrom,Number 8,1983-04-28,29,4,England
Danny Care,Scrum-half,1987-01-02,26,37,England
Lee Dickson,Scrum-half,1985-03-29,27,7,England
Ben Youngs,Scrum-half,1989-09-05,23,28,England
Freddie Burns,Fly-half,1990-05-13,22,1,England
Owen Farrell,Fly-half,1991-09-24,21,12,England
Toby Flood,Fly-half,1985-08-08,27,53,England
Brad Barritt,Centre,1986-08-07,26,11,England
Jonathan Joseph,Centre,1991-05-21,21,4,England
Manu Tuilagi,Centre,1991-05-18,21,17,England
Billy Twelvetrees,Centre,1988-11-15,24,0,England
Chris Ashton,Wing,1987-03-29,25,29,England
Mike Brown,Wing,1985-09-04,27,11,England
David Strettle,Wing,1983-07-23,29,12,England
Ben Foden,Fullback,1985-07-22,27,30,England
Alex Goode,Fullback,1988-05-07,24,6,England
Guilhem Guirado,Hooker,1986-06-17,26,15,France
Benjamin Kayser,Hooker,1984-07-26,28,12,France
Dimitri Szarzewski,Hooker,1983-01-26,30,66,France
David Attoub,Prop,1981-06-07,31,4,France
Vincent Debaty,Prop,1981-10-02,31,11,France
Thomas Domingo,Prop,1985-08-20,27,21,France
Luc Ducalcon,Prop,1984-01-02,29,10,France
Yannick Forestier,Prop,1982-01-03,31,3,France
Nicolas Mas,Prop,1980-05-23,32,56,France
Yoann Maestri,Lock,1988-01-14,25,9,France
Pascal Papé (c),Lock,1980-10-05,32,45,France
Jocelino Suta,Lock,1982-11-18,30,3,France
Romain Taofifénua,Lock,1990-09-14,22,1,France
Thierry Dusautoir,Flanker,1981-11-18,31,54,France
Wenceslas Lauret,Flanker,1989-03-28,23,3,France
Yannick Nyanga,Flanker,1983-12-19,29,28,France
Fulgence Ouedraogo,Flanker,1986-07-21,26,30,France
Damien Chouly,Number 8,1985-11-27,27,7,France
Louis Picamoles,Number 8,1986-02-05,26,31,France
Maxime Machenaud,Scrum-half,1988-12-30,24,4,France
Morgan Parra,Scrum-half,1988-11-15,24,46,France
Frédérick Michalak,Fly-half,1982-10-16,30,59,France
François Trinh-Duc,Fly-half,1986-11-11,26,44,France
Mathieu Bastareaud,Centre,1988-09-17,24,9,France
Gaël Fickou,Centre,1994-03-26,18,0,France
Florian Fritz,Centre,1984-01-17,29,25,France
Maxime Mermoz,Centre,1986-07-28,26,22,France
Jean-Marcellin Buttin,Wing,1991-12-16,21,2,France
Vincent Clerc,Wing,1981-05-07,31,64,France
Benjamin Fall,Wing,1989-03-03,23,3,France
Wesley Fofana,Wing,1988-01-20,25,10,France
Adrien Planté*,Wing,1985-04-02,37,0,France
Hugo Bonneval*,Fullback,1990-11-19,31,0,France
Brice Dulin,Fullback,1990-04-13,22,5,France
Yoann Huget,Fullback,1987-06-02,25,12,France
Rory Best,Hooker,1982-08-15,40,62,Ireland
Seán Cronin,Hooker,1986-05-06,36,23,Ireland
Mike Sherry,Hooker,1988-06-18,34,0,Ireland
Stephen Archer*,Prop,1988-01-29,34,0,Ireland
Michael Bent,Prop,1986-04-25,36,2,Ireland
Tom Court,Prop,1980-11-06,41,29,Ireland
Declan Fitzpatrick,Prop,1983-07-12,39,2,Ireland
Cian Healy,Prop,1987-10-07,34,35,Ireland
Dave Kilcoyne,Prop,1988-12-14,33,2,Ireland
Mike Ross,Prop,1979-12-21,42,24,Ireland
Mike McCarthy,Lock,1981-11-27,40,6,Ireland
Donncha O'Callaghan,Lock,1979-03-24,43,90,Ireland
Donnacha Ryan,Lock,1983-12-11,38,23,Ireland
Devin Toner,Lock,1986-06-29,36,3,Ireland
Iain Henderson,Flanker,1992-02-21,30,2,Ireland
