Player,Position,Date of Birth,Age,Caps,Team
Jamie Blamire,Hooker,1997-12-22,24,5,
Luke Cowan-Dickie,Hooker,1993-06-20,28,31,
Jamie George,Hooker,1990-10-20,31,61,
Ellis Genge,Prop,1995-02-16,26,31,
Joe Heyes,Prop,1999-04-13,22,2,
Joe Marler,Prop,1990-07-07,31,74,
Bevan Rodd,Prop,2000-08-26,21,2,
Kyle Sinckler,Prop,1993-03-30,28,47,
Will Stuart,Prop,1996-07-12,25,15,
Ollie Chessum,Lock,2000-09-06,21,0,
Charlie Ewels,Lock,1995-06-29,26,26,
Jonny Hill,Lock,1994-06-08,27,12,
Maro Itoje,Lock,1994-10-28,27,51,
Courtney Lawes,Lock,1989-02-23,32,90,
Alfie Barbeary,Back row,2000-10-05,21,0,
Tom Curry,Back row,1998-06-15,23,36,
Alex Dombrandt,Back row,1997-04-29,24,4,
Lewis Ludlam,Back row,1995-12-08,26,10,
Sam Simmonds,Back row,1994-11-10,27,9,
Raffi Quirke,Scrum-half,2001-08-18,20,2,
Harry Randall,Scrum-half,1997-12-18,24,2,
Ben Youngs,Scrum-half,1989-09-05,32,112,
Orlando Bailey,Fly-half,2001-09-29,20,0,
Owen Farrell,Fly-half,1991-09-24,30,94,
Marcus Smith,Fly-half,1999-02-14,22,5,
Mark Atkinson,Centre,1990-03-08,31,1,
Joe Marchant,Centre,1996-07-16,25,7,
Luke Northmore,Centre,1997-03-16,24,0,
Henry Slade,Centre,1993-03-19,28,43,
Ollie Hassell-Collins,Wing,1999-01-17,23,0,
Jonny May,Wing,1990-04-01,31,69,
Jack Nowell,Wing,1993-11-04,28,34,
Tommy Freeman,Fullback,2001-03-05,20,0,
George Furbank,Fullback,1996-10-17,25,5,
Max Malins,Fullback,1997-01-07,25,10,
Freddie Steward,Fullback,2000-12-05,21,5,
Dave Heffernan,Hooker,1991-01-31,31,6,
Jeremy Loughman,Prop,1995-07-22,26,0,
James Lowe,Wing,1992-07-08,29,10,
Jimmy O'Brien,Fullback,1996-11-27,25,0,
Alun Wyn Jones,Lock,1985-09-19,36,149,
Taulupe Faletau,Back row,1990-11-12,31,86,
Josh Navidi,Back row,1990-12-30,31,28,
Gaëtan Barlot,Hooker,1997-04-13,24,4,
Julien Marchand,Hooker,1995-05-10,26,16,
Peato Mauvaka,Hooker,1997-01-10,25,9,
Uini Atonio,Prop,1990-03-26,31,39,
Cyril Baille,Prop,1993-09-15,28,31,
Demba Bamba,Prop,1998-03-17,23,20,
Daniel Bibi Biziwu,Prop,2001-08-29,20,0,
Jean-Baptiste Gros,Prop,1999-05-29,22,14,
Mohamed Haouas,Prop,1994-03-09,27,13,
Thibaud Flament,Lock,1997-04-29,24,3,
Bernard Le Roux,Lock,1989-06-04,32,47,
Romain Taofifénua,Lock,1990-09-14,31,31,
Florent Vanverberghe,Lock,2000-07-22,21,0,
Florian Verhaeghe,Lock,1997-04-27,24,0,
Paul Willemse,Lock,1992-11-13,29,19,
Grégory Alldritt,Back row,1997-03-23,24,26,
Dylan Cretin,Back row,1997-05-04,24,13,
François Cros,Back row,1994-03-25,27,11,
Ibrahim Diallo,Back row,1998-01-23,24,1,
Anthony Jelonch,Back row,1996-07-28,25,14,
Sekou Macalou,Back row,1995-04-20,26,7,
Yoan Tanga,Back row,1996-11-29,25,0,
Cameron Woki,Back row,1998-11-07,23,11,
Baptiste Couilloud,Scrum-half,1997-07-22,24,8,
Antoine Dupont,Scrum-half,1996-11-15,25,35,
Maxime Lucu,Scrum-half,1993-01-12,29,2,
Léo Berdeu,Fly-half,1998-06-13,23,0,
Antoine Hastoy,Fly-half,1997-06-04,24,1,
Romain Ntamack,Fly-half,1999-05-01,22,23,
Jonathan Danty,Centre,1992-10-07,29,11,
Jules Favre,Centre,1999-03-22,22,0,
Gaël Fickou,Centre,1994-03-26,27,66,
Yoram Moefana,Centre,2000-07-18,21,2,
Virimi Vakatawa,Centre,1992-05-01,29,30,
Tani Vili,Centre,2000-10-31,21,0,
Matthis Lebel,Wing,1999-03-25,22,1,
Damian Penaud,Wing,1996-09-25,25,28,
Teddy Thomas,Wing,1993-09-18,28,28,
Gabin Villière,Wing,1995-12-13,26,8,
Brice Dulin,Fullback,1990-04-13,31,36,
Melvyn Jaminet,Fullback,1999-06-30,22,6,
Thomas Ramos,Fullback,1995-07-23,26,14,
Rob Herring,Hooker,1990-04-27,31,23,
Rónan Kelleher,Hooker,1998-01-21,24,16,
Dan Sheehan,Hooker,1998-09-17,23,2,
Finlay Bealham,Prop,1991-10-09,30,18,
Tadhg Furlong,Prop,1992-11-14,29,52,
Cian Healy,Prop,1987-10-07,34,112,
Dave Kilcoyne,Prop,1988-12-14,33,45,
Tom O'Toole,Prop,1998-09-23,23,2,
Andrew Porter,Prop,1996-01-16,26,40,
Ryan Baird,Lock,1999-07-26,22,6,
Tadhg Beirne,Lock,1992-01-08,30,25,
Iain Henderson,Lock,1992-02-21,29,65,
James Ryan,Lock,1996-07-24,25,40,
Kieran Treadwell,Lock,1995-11-06,26,3,
Jack Conan,Back row,1992-07-29,29,22,
Gavin Coombes,Back row,1997-12-11,24,2,
Caelan Doris,Back row,1998-04-02,23,12,
Peter O'Mahony,Back row,1989-09-17,32,79,
Cian Prendergast,Back row,2000-02-23,21,0,
Nick Timoney,Back row,1995-08-01,26,2,
Josh van der Flier,Back row,1993-04-25,28,35,
Craig Casey,Scrum-half,1999-04-19,22,4,
Jamison Gibson-Park,Scrum-half,1992-02-23,29,12,
Conor Murray,Scrum-half,1989-04-20,32,92,
Jack Carty,Fly-half,1992-08-31,29,10,
Joey Carbery,Fly-half,1995-11-01,26,27,
Johnny Sexton (c),Fly-half,1985-07-11,36,101,
Bundee Aki,Centre,1990-04-07,31,33,
Robbie Henshaw,Centre,1993-06-12,28,53,
James Hume,Centre,1998-09-07,23,1,
Garry Ringrose,Centre,1995-01-26,27,37,
Robert Baloucoune,Wing,1997-08-19,24,2,
Andrew Conway,Wing,1991-07-11,30,27,
Keith Earls,Wing,1987-10-02,34,96,
Mack Hansen,Wing,1998-03-27,23,0,
Hugo Keenan,Fullback,1996-06-18,25,16,
Jordan Larmour,Fullback,1997-06-10,24,30,
Michael Lowry,Fullback,1998-08-20,23,0,
Hame Faiva,Hooker,1994-05-09,27,1,
Gianmarco Lucchesi,Hooker,2000-09-10,21,8,
Giacomo Nicotera,Hooker,1996-07-15,25,0,
Pietro Ceccarelli,Prop,1992-02-16,29,17,
Danilo Fischetti,Prop,1998-01-26,24,15,
Ivan Nemer,Prop,1998-04-22,23,3,
Tiziano Pasquali,Prop,1994-07-14,27,21,
Cherif Traorè,Prop,1994-04-10,27,12,
Giosuè Zilocchi,Prop,1997-01-15,25,15,
Niccolò Cannone,Lock,1998-05-17,23,15,
Marco Fuser,Lock,1991-03-09,30,36,
Federico Ruzza,Lock,1994-08-04,27,25,
David Sisi,Lock,1993-02-05,29,18,
Toa Halafihi,Back row,1993-11-27,28,0,
Michele Lamaro (c),Back row,1998-06-03,23,10,
Sebastian Negri,Back row,1994-06-30,27,36,
Giovanni Pettinelli,Back row,1996-03-13,25,1,
Braam Steyn,Back row,1992-05-02,29,46,
Manuel Zuliani,Back row,2000-04-26,21,0,
Callum Braley,Scrum-half,1994-03-24,27,12,
Alessandro Fusco,Scrum-half,1999-10-28,22,2,
Stephen Varney,Scrum-half,2001-05-16,20,9,
Giacomo Da Re,Fly-half,1999-03-29,22,0,
Paolo Garbisi,Fly-half,2000-04-26,21,13,
Leonardo Marin,Fly-half,2002-02-23,19,0,
Ignacio Brex,Centre,1992-05-26,29,8,
Luca Morisi,Centre,1991-02-22,30,36,
Marco Zanon,Centre,1997-10-03,24,7,
