Player,Position,Date of Birth,Age,Caps,Team
Pierre Bruno,Wing,1996-06-28,25,1,
Monty Ioane,Wing,1994-10-30,27,9,
Tommaso Menoncello,Wing,2002-08-20,19,0,
Federico Mori,Wing,2000-10-13,21,11,
Edoardo Padovani,Fullback,1993-03-15,28,30,
Ewan Ashman,Hooker,2000-04-03,21,2,
Stuart McInally,Hooker,1990-08-09,31,43,
George Turner,Hooker,1992-10-08,29,20,
Jamie Bhatti,Prop,1993-09-08,28,22,
Zander Fagerson,Prop,1996-01-19,26,42,
WP Nel,Prop,1986-04-30,35,43,
Pierre Schoeman,Prop,1994-05-07,27,4,
Javan Sebastian,Prop,1994-09-27,27,1,
Rory Sutherland,Prop,1992-08-24,29,16,
Scott Cummings,Lock,1996-12-03,25,21,
Grant Gilchrist,Lock,1990-08-09,31,48,
Jonny Gray,Lock,1994-03-24,27,64,
Jamie Hodgson,Lock,1998-03-19,23,3,
Sam Skinner,Lock,1995-01-31,27,15,
Josh Bayliss,Back row,1997-09-18,24,2,
Magnus Bradbury,Back row,1995-08-23,26,14,
Andy Christie,Back row,1999-03-27,22,0,
Rory Darge,Back row,2000-02-23,21,0,
Matt Fagerson,Back row,1998-07-16,23,17,
Nick Haining,Back row,1990-09-01,31,10,
Jamie Ritchie,Back row,1996-08-16,25,31,
Hamish Watson,Back row,1991-10-15,30,45,
Ali Price,Scrum-half,1993-05-12,28,46,
Ben Vellacott,Scrum-half,1995-03-28,26,0,
Ben White,Scrum-half,1998-05-27,23,0,
Finn Russell,Fly-half,1992-09-23,29,58,
Mark Bennett,Centre,1993-02-03,29,22,
Chris Harris,Centre,1990-12-28,31,31,
Rory Hutchinson,Centre,1996-01-29,26,5,
Sam Johnson,Centre,1993-06-19,28,21,
Cameron Redpath,Centre,1999-12-23,22,1,
Sione Tuipulotu,Centre,1997-02-12,24,1,
Darcy Graham,Wing,1997-06-21,24,22,
Rufus McLean,Wing,2000-03-02,21,2,
Kyle Rowe,Wing,1998-02-08,23,0,
Kyle Steyn,Wing,1994-01-29,28,3,
Duhan van der Merwe,Wing,1995-06-04,26,13,
Stuart Hogg,Fullback,1992-06-24,29,88,
Blair Kinghorn,Fullback,1997-01-18,25,28,
Nic Dolly,Hooker,1999-06-11,22,1,
Nick Isiekwe,Lock,1998-04-20,23,3,
Joe Launchbury,Lock,1991-04-12,30,69,
Tom Pearson,Back row,1999-10-26,22,0,
Sam Underhill,Back row,1996-07-22,25,27,
Jack Willis,Back row,1996-12-24,25,3,
Alex Mitchell,Scrum-half,1997-05-25,24,1,
George Ford,Fly-half,1993-03-16,28,77,
Manu Tuilagi,Centre,1991-05-18,30,46,
Elliot Daly,Wing,1992-10-08,29,52,
Louis Lynagh,Wing,2000-12-03,21,0,
Adam Radwan,Wing,1997-12-30,24,2,
Andrea Lovotti,Prop,1989-07-28,32,47,
Ion Neculai,Prop,2001-01-25,21,0,
Andrea Zambonin,Lock,2000-09-03,21,1,
Renato Giammarioli,Back row,1995-03-23,26,5,
Enrico Lucchin,Centre,1995-04-04,26,0,
Ange Capuozzo,Fullback,1999-04-30,22,0,
Fraser Brown,Hooker,1989-06-20,32,54,
Simon Berghan,Prop,1990-12-07,31,31,
Allan Dell,Prop,1992-03-16,29,32,
Oli Kebble,Prop,1992-06-18,29,11,
Murphy Walker,Prop,1999-10-25,22,0,
Kiran McDonald,Lock,1994-01-11,28,0,
Marshall Sykes,Lock,1999-12-29,22,1,
Glen Young,Lock,1994-11-04,27,0,
Adam Hastings,Fly-half,1996-10-05,25,25,
Ross Thompson,Fly-half,1999-04-10,22,1,
James Lang,Centre,1995-05-03,26,6,
Jordan Edmunds,Wing,1994-06-28,28,0,
Sean Maitland,Wing,1988-09-14,33,53,
Ollie Smith,Fullback,2000-07-08,21,0,
Ryan Elias,Hooker,1995-01-07,27,23,
Dewi Lake,Hooker,1999-05-16,22,0,
Bradley Roberts,Hooker,1996-01-04,26,1,
Leon Brown,Prop,1996-10-26,25,16,
Rhys Carré,Prop,1998-02-08,23,16,
Tomas Francis,Prop,1992-04-27,29,60,
Wyn Jones,Prop,1992-02-26,29,38,
Dillon Lewis,Prop,1996-01-04,26,34,
Gareth Thomas,Prop,1993-08-02,28,5,
Adam Beard,Lock,1996-01-07,26,29,
Ben Carter,Lock,2001-01-23,21,5,
Seb Davies,Lock,1996-05-17,25,13,
Will Rowlands,Lock,1991-09-19,30,13,
Christ Tshiunza,Lock,2002-01-09,20,2,
Taine Basham,Back row,1999-11-02,22,7,
Ellis Jenkins,Back row,1993-04-29,28,14,
Jac Morgan,Back row,2000-01-21,22,0,
Ross Moriarty,Back row,1994-04-18,27,49,
James Ratti,Back row,1997-10-14,24,0,
Aaron Wainwright,Back row,1997-09-25,24,34,
Gareth Davies,Scrum-half,1990-08-18,31,65,
Kieran Hardy,Scrum-half,1995-11-30,26,8,
Tomos Williams,Scrum-half,1995-01-01,27,29,
Gareth Anscombe,Fly-half,1991-05-10,30,29,
Dan Biggar (c),Fly-half,1989-10-16,32,95,
Rhys Priestland,Fly-half,1987-01-09,35,52,
Callum Sheedy,Fly-half,1995-10-28,26,13,
Jonathan Davies,Centre,1988-04-05,33,93,
Willis Halaholo,Centre,1990-07-06,31,9,
Nick Tompkins,Centre,1995-02-16,26,16,
Owen Watkin,Centre,1996-10-12,25,26,
Josh Adams,Wing,1995-04-21,26,35,
Alex Cuthbert,Wing,1990-04-05,31,48,
Louis Rees-Zammit,Wing,2001-02-02,21,12,
Johnny McNicholl,Fullback,1990-09-24,31,8,
Liam Williams,Fullback,1991-04-09,30,74,
