Player,Position,Date of Birth,Age,Caps,Team
Dylan Hartley,Hooker,1986-03-24,27,50,England
Rob Webber,Hooker,1986-08-01,27,5,England
Tom Youngs,Hooker,1987-01-28,27,12,England
Dan Cole,Prop,1987-05-09,26,43,England
Joe Marler,Prop,1990-07-07,23,15,England
Matt Mullan,Prop,1987-02-23,26,2,England
Henry Thomas,Prop,1991-10-30,22,2,England
Mako Vunipola,Prop,1991-01-13,23,10,England
Dave Attwood,Lock,1987-04-05,26,5,England
Joe Launchbury,Lock,1991-04-12,22,14,England
Courtney Lawes,Lock,1989-02-23,24,25,England
Ed Slater,Lock,1988-08-01,25,0,England
Tom Johnson,Flanker,1982-07-16,31,5,England
Matt Kvesic,Flanker,1992-04-14,21,2,England
Chris Robshaw (c),Flanker,1986-06-04,27,20,England
Tom Wood,Flanker,1986-11-03,27,23,England
Ben Morgan,Number 8,1989-02-18,24,15,England
Billy Vunipola,Number 8,1992-11-03,21,5,England
Danny Care,Scrum-half,1987-01-02,27,42,England
Lee Dickson,Scrum-half,1985-03-29,28,12,England
Ben Youngs,Scrum-half,1989-09-05,24,35,England
Richard Wigglesworth,Scrum-half,1983-06-09,30,14,England
Owen Farrell,Fly-half,1991-09-21,22,19,England
George Ford,Fly-half,1993-03-16,20,0,England
Stephen Myler,Fly-half,1984-07-21,29,1,England
Brad Barritt,Centre,1986-08-07,27,16,England
Luther Burrell,Centre,1987-12-06,26,0,England
Kyle Eastmond,Centre,1989-07-17,24,2,England
Billy Twelvetrees,Centre,1988-11-15,25,8,England
Chris Ashton,Wing,1987-03-29,26,37,England
Jonny May,Wing,1990-04-01,23,1,England
Jack Nowell,Wing,1993-04-11,20,0,England
Anthony Watson,Wing,1994-02-26,19,0,England
Mike Brown,Fullback,1985-09-04,28,21,England
Alex Goode,Fullback,1988-05-07,25,13,England
David Wilson,Prop,1985-04-09,28,31,England
Freddie Burns,Fly-half,1990-05-13,23,3,England
Manu Tuilagi,Centre,1991-05-18,22,21,England
Marland Yarde,Wing,1992-04-20,21,2,England
Benjamin Kayser,Hooker,1984-07-26,29,22,France
Dimitri Szarzewski,Hooker,1983-01-26,31,75,France
Thomas Domingo,Prop,1985-08-20,28,28,France
Yannick Forestier,Prop,1982-01-03,32,8,France
Nicolas Mas,Prop,1980-05-23,33,66,France
Rabah Slimani,Prop,1989-10-18,24,3,France
Alexandre Flanquart,Lock,1989-10-09,24,2,France
Yoann Maestri,Lock,1988-01-14,26,20,France
Pascal Papé,Lock,1980-10-05,33,49,France
Sébastien Vahaamahina,Lock,1991-10-21,22,9,France
Antoine Burban,Flanker,1987-07-22,26,0,France
Thierry Dusautoir (c),Flanker,1981-11-18,32,65,France
Bernard Le Roux,Flanker,1989-06-04,24,3,France
Yannick Nyanga,Flanker,1983-12-19,30,34,France
Damien Chouly,Number 8,1985-11-27,28,13,France
Louis Picamoles,Number 8,1986-02-05,27,38,France
Jean-Marc Doussain,Scrum-half,1991-02-12,22,5,France
Maxime Machenaud,Scrum-half,1988-12-30,25,11,France
Jules Plisson,Fly-half,1991-08-20,22,0,France
Rémi Tales,Fly-half,1984-05-02,29,5,France
Mathieu Bastareaud,Centre,1988-09-17,25,18,France
Gaël Fickou,Centre,1994-03-26,19,3,France
Wesley Fofana,Centre,1988-01-20,26,21,France
Maxime Mermoz,Centre,1986-07-28,27,25,France
Sofiane Guitoune,Wing,1989-03-27,24,2,France
Yoann Huget,Wing,1987-06-02,26,22,France
Maxime Médard,Wing,1986-11-16,27,36,France
Geoffrey Palis,Fullback,1991-07-08,22,0,France
Hugo Bonneval,Fullback,1990-11-19,23,0,France
Brice Dulin,Fullback,1990-04-13,23,10,France
Guilhem Guirado,Hooker,1986-06-17,27,18,France
Brice Mach,Hooker,1986-04-02,27,0,France
Vincent Debaty,Prop,1981-10-02,32,20,France
Virgile Bruni,Flanker,1989-02-06,24,0,France
Ibrahim Diarra,Flanker,1983-05-25,30,1,France
Alexandre Lapandry,Flanker,1989-04-13,24,8,France
Wenceslas Lauret,Flanker,1989-03-28,24,5,France
Antonie Claassen,Number 8,1984-10-20,29,4,France
Morgan Parra,Scrum-half,1988-11-15,25,54,France
François Trinh-Duc,Fly-half,1986-11-11,27,48,France
Rémi Lamerat,Centre,1990-01-14,24,0,France
Marc Andreu,Wing,1985-12-27,28,7,France
Jean-Marcellin Buttin,Wing,1991-12-16,22,2,France
Rory Best,Hooker,1982-08-15,31,70,France
Seán Cronin,Hooker,1986-05-06,27,30,Ireland
Cian Healy,Prop,1987-10-07,26,42,Ireland
Jack McGrath,Prop,1989-10-11,24,3,Ireland
Martin Moore,Prop,1991-03-01,22,0,Ireland
Mike Ross,Prop,1979-12-21,34,34,Ireland
Iain Henderson,Lock,1992-02-21,21,6,Ireland
Mike McCarthy,Lock,1981-11-27,32,15,Ireland
Paul O'Connell (c),Lock,1979-10-20,34,88,Ireland
Devin Toner,Lock,1986-06-29,27,10,Ireland
Dan Tuohy,Lock,1985-06-18,28,7,Ireland
Chris Henry,Flanker,1984-10-17,29,9,Ireland
Jordi Murphy,Flanker,1991-04-22,22,0,Ireland
Tommy O'Donnell,Flanker,1987-05-21,26,2,Ireland
Peter O'Mahony,Flanker,1989-09-17,24,19,Ireland
Rhys Ruddock,Flanker,1990-11-13,23,1,Ireland
Robin Copeland,Number 8,1987-10-23,26,0,Ireland
Jamie Heaslip,Number 8,1983-12-15,30,60,Ireland
Conor Murray,Scrum-half,1989-04-20,24,22,Ireland
Eoin Reddan,Scrum-half,1980-11-20,33,52,Ireland
Paddy Jackson,Fly-half,1992-01-05,22,5,Ireland
Ian Madigan,Fly-half,1989-03-21,24,7,Ireland
Johnny Sexton,Fly-half,1985-07-11,28,38,Ireland
Darren Cave,Centre,1987-04-05,26,5,Ireland
Gordon D'Arcy,Centre,1980-02-10,33,75,Ireland
Robbie Henshaw,Centre,1993-06-12,20,3,Ireland
Luke Marshall,Centre,1991-03-03,22,4,Ireland
Brian O'Driscoll,Centre,1979-01-21,35,128,Ireland
Luke Fitzgerald,Wing,1987-09-13,26,27,Ireland
David Kearney,Wing,1989-06-19,24,2,Ireland
Fergus McFadden,Wing,1986-06-17,27,21,Ireland
Andrew Trimble,Wing,1984-10-20,29,50,Ireland
Felix Jones,Fullback,1987-08-05,26,5,Ireland
Rob Kearney,Fullback,1986-03-26,27,49,Ireland
Richardt Strauss,Hooker,1986-01-29,28,4,Ireland
Dave Kilcoyne,Prop,1988-12-14,25,8,Ireland
Donnacha Ryan,Lock,1983-12-11,30,28,Ireland
Robbie Diack,Number 8,1985-11-12,28,0,Ireland
Isaac Boss,Scrum-half,1980-04-09,33,17,Ireland
Simon Zebo,Wing,1990-03-16,23,6,Ireland
Leonardo Ghiraldini,Hooker,1984-12-26,29,59,Italy
Davide Giazzon,Hooker,1986-01-16,28,15,Italy
Martin Castrogiovanni,Prop,1981-10-21,32,101,Italy
Lorenzo Cittadini,Prop,1982-12-17,31,27,Italy
Alberto De Marchi,Prop,1986-03-13,27,12,Italy
Michele Rizzo,Prop,1982-09-16,31,11,Italy
