Player,Position,Date of Birth,Age,Caps,Team
Marco Bortolami,Lock,1980-06-12,33,99,Italy
Marco Fuser,Lock,1991-03-09,22,1,Italy
Quintin Geldenhuys,Lock,1981-06-19,32,41,Italy
Antonio Pavanello,Lock,1982-10-13,31,22,Italy
Robert Barbieri,Flanker,1984-06-05,29,32,Italy
Mauro Bergamasco,Flanker,1979-05-01,34,95,Italy
Paul Derbyshire,Flanker,1986-11-03,27,20,Italy
Joshua Furno,Flanker,1989-10-21,24,13,Italy
Alessandro Zanni,Flanker,1984-01-31,30,80,Italy
Sergio Parisse (c),Number 8,1983-09-12,30,101,Italy
Tobias Botes,Scrum-half,1984-04-26,29,19,Italy
Edoardo Gori,Scrum-half,1990-03-05,23,29,Italy
Guglielmo Palazzani,Scrum-half,1991-04-11,22,0,Italy
Tommaso Allan,Fly-half,1993-04-26,20,3,Italy
Luciano Orquera,Fly-half,1981-10-12,32,37,Italy
Tommaso Benvenuti,Centre,1990-12-12,23,30,Italy
Michele Campagnaro,Centre,1993-03-13,20,2,Italy
Gonzalo Garcia,Centre,1984-02-18,29,29,Italy
Alberto Sgarbi,Centre,1986-11-26,27,27,Italy
Mirco Bergamasco,Wing,1983-02-23,30,89,Italy
Angelo Esposito,Wing,1993-06-14,20,0,Italy
Tommaso Iannone,Wing,1990-09-16,23,6,Italy
Leonardo Sarto,Wing,1992-01-15,22,2,Italy
Luke McLean,Fullback,1987-06-29,26,52,Italy
Matías Agüero,Prop,1981-02-13,32,22,Italy
George Biagi,Lock,1980-10-04,33,0,Italy
Francesco Minto,Flanker,1987-05-20,26,7,Italy
Manoa Vosawai,Number 8,1983-08-12,30,13,Italy
Tito Tebaldi,Scrum-half,1987-09-23,26,16,Italy
Andrea Masi,Fullback,1981-03-30,32,80,Italy
Ross Ford,Hooker,1984-04-23,38,71,Scotland
Scott Lawson,Hooker,1981-09-28,32,39,Scotland
Pat MacArthur,Hooker,1987-04-27,26,3,Scotland
Geoff Cross,Prop,1982-12-11,31,23,Scotland
Alasdair Dickinson,Prop,1983-09-11,30,30,Scotland
Ryan Grant,Prop,1985-10-08,28,13,Scotland
Moray Low,Prop,1984-11-28,29,23,Scotland
Grant Gilchrist,Lock,1990-08-09,23,4,Scotland
Jonny Gray,Lock,1994-03-14,19,2,Scotland
Richie Gray,Lock,1989-08-24,24,33,Scotland
Jim Hamilton,Lock,1982-11-17,31,50,Scotland
Kieran Low,Lock,1991-01-27,23,1,Scotland
Tim Swinson,Lock,1987-02-17,26,3,Scotland
Kelly Brown (c),Flanker,1982-06-08,31,60,Scotland
Chris Fusaro,Flanker,1989-07-21,24,0,Scotland
Rob Harley,Flanker,1990-05-26,23,5,Scotland
Ross Rennie,Flanker,1986-03-29,27,20,Scotland
Alasdair Strokosch,Flanker,1983-02-21,30,37,Scotland
Johnnie Beattie,Number 8,1985-11-21,28,26,Scotland
David Denton,Number 8,1990-02-05,23,17,Scotland
Ryan Wilson,Number 8,1989-05-18,24,4,Scotland
Chris Cusiter,Scrum-half,1982-06-13,31,64,Scotland
Greig Laidlaw,Scrum-half,1985-10-12,28,24,Scotland
Ruaridh Jackson,Fly-half,1988-02-12,25,23,Scotland
Duncan Weir,Fly-half,1991-05-10,22,8,Scotland
Nick De Luca,Centre,1984-02-01,30,41,Scotland
Alex Dunbar,Centre,1990-04-23,23,3,Scotland
Matt Scott,Centre,1990-09-30,23,16,Scotland
Duncan Taylor,Centre,1989-09-05,24,6,Scotland
Max Evans,Wing,1983-09-28,30,37,Scotland
Dougie Fife,Wing,1990-08-08,23,0,Scotland
Sean Lamont,Wing,1981-01-15,33,82,Scotland
Sean Maitland,Wing,1988-09-14,25,8,Scotland
Tommy Seymour,Wing,1988-07-01,25,5,Scotland
Stuart Hogg,Fullback,1992-06-24,21,15,Scotland
Greig Tonks,Fullback,1989-05-20,24,1,Scotland
Euan Murray,Prop,1980-08-07,33,58,Scotland
Richie Vernon,Centre,1987-07-07,26,20,Scotland
Lee Jones,Wing,1988-06-28,25,4,Scotland
Jack Cuthbert,Fullback,1987-09-03,26,1,Scotland
Richard Hibbard,Hooker,1983-12-13,30,26,Wales
Ken Owens,Hooker,1987-01-03,27,19,Wales
Emyr Phillips,Hooker,1987-02-22,26,3,Wales
Ryan Bevington,Prop,1988-12-09,25,12,Wales
Paul James,Prop,1982-05-13,31,48,Wales
Gethin Jenkins,Prop,1980-11-17,33,101,Wales
Adam Jones,Prop,1981-03-08,32,89,Wales
Rhodri Jones,Prop,1991-12-23,22,5,Wales
Samson Lee,Prop,1992-11-30,21,3,Wales
Luke Charteris,Lock,1983-03-09,30,43,Wales
Andrew Coombs,Lock,1984-10-27,29,6,Wales
Ian Evans,Lock,1984-10-04,29,32,Wales
Alun Wyn Jones,Lock,1985-09-19,28,74,Wales
Ryan Jones,Flanker,1981-03-13,32,75,Wales
Dan Lydiate,Flanker,1987-12-18,26,30,Wales
Aaron Shingler,Flanker,1987-08-07,26,7,Wales
Justin Tipuric,Flanker,1989-08-06,24,19,Wales
Sam Warburton (c),Flanker,1988-10-05,25,41,Wales
Taulupe Faletau,Number 8,1990-11-12,23,29,Wales
Mike Phillips,Scrum-half,1982-08-29,31,80,Wales
Rhys Webb,Scrum-half,1988-12-09,25,3,Wales
Rhodri Williams,Scrum-half,1993-05-05,20,2,Wales
Dan Biggar,Fly-half,1989-10-16,24,20,Wales
James Hook,Fly-half,1985-06-27,28,73,Wales
Rhys Priestland,Fly-half,1987-01-09,27,25,Wales
Jonathan Davies,Centre,1988-04-05,25,37,Wales
Jamie Roberts,Centre,1986-11-08,27,53,Wales
Scott Williams,Centre,1990-10-10,23,23,Wales
Alex Cuthbert,Wing,1990-04-05,23,19,Wales
George North,Wing,1992-04-13,21,35,Wales
Leigh Halfpenny,Fullback,1988-12-22,25,48,Wales
Liam Williams,Fullback,1991-04-09,22,8,Wales
Jake Ball,Lock,1991-06-21,22,0,Wales
James King,Flanker,1990-07-24,23,2,Wales
