Player,Position,Date of Birth,Age,Caps,Team
Lorenzo Cittadini,Prop,1982-12-17,29,8,Italy
Alberto de Marchi,Prop,1986-03-13,25,0,Italy
Andrea Lo Cicero,Prop,1976-05-07,35,91,Italy
Marco Bortolami,Lock,1980-06-12,31,88,Italy
Quintin Geldenhuys,Lock,1981-06-19,30,25,Italy
Antonio Pavanello,Lock,1982-10-13,29,5,Italy
Corniel van Zyl,Lock,1979-01-27,33,6,Italy
Mauro Bergamasco,Flanker,1979-05-01,32,88,Italy
Paul Derbyshire,Flanker,1986-11-03,25,16,Italy
Simone Favaro,Flanker,1988-11-07,23,6,Italy
Alessandro Zanni,Flanker,1984-01-31,28,58,Italy
Robert Barbieri,Number 8,1984-06-05,27,16,Italy
Sergio Parisse (c),Number 8,1983-09-12,28,83,Italy
Edoardo Gori,Scrum-half,1990-03-05,21,9,Italy
Fabio Semenzato,Scrum-half,1986-05-06,25,8,Italy
Kris Burton,Fly-half,1980-08-04,31,9,Italy
Luciano Orquera,Fly-half,1981-10-12,30,27,Italy
Gonzalo Canale,Centre,1982-11-11,29,72,Italy
Luca Morisi,Centre,1991-02-22,20,0,Italy
Roberto Quartaroli,Centre,1988-03-29,23,3,Italy
Alberto Sgarbi,Centre,1986-11-26,25,14,Italy
Tommaso Benvenuti,Wing,1990-12-12,21,12,Italy
Angelo Esposito,Wing,1993-06-14,18,0,Italy
Giulio Toniolatti,Wing,1984-01-15,28,8,Italy
Giovanbattista Venditti,Wing,1990-03-27,21,0,Italy
Andrea Masi,Fullback,1981-03-30,30,64,Italy
Luke McLean,Fullback,1987-06-29,24,33,Italy
Huw Bennett,Hooker,1983-06-11,28,49,Wales
Ken Owens,Hooker,1987-01-03,25,1,Wales
Matthew Rees,Hooker,1980-12-09,41,48,Wales
Ryan Bevington,Prop,1988-12-09,23,7,Wales
Gethin Jenkins,Prop,1980-11-17,31,83,Wales
Adam Jones,Prop,1981-03-08,30,75,Wales
Craig Mitchell,Prop,1986-05-03,25,11,Wales
Paul James,Prop,1982-05-13,29,31,Wales
Rhodri Jones,Prop,1991-12-23,20,0,Wales
Rhys Gill,Prop,1986-10-30,25,1,Wales
Bradley Davies,Lock,1987-01-09,25,32,Wales
Ian Evans,Lock,1984-10-04,27,17,Wales
Ryan Jones,Lock,1981-03-13,30,58,Wales
Lou Reed,Lock,1987-09-10,24,0,Wales
Dan Lydiate,Flanker,1987-12-18,24,20,Wales
Justin Tipuric,Flanker,1989-08-06,22,2,Wales
Sam Warburton (c),Flanker,1988-10-05,23,24,Wales
Taulupe Faletau,Number 8,1990-11-12,21,11,Wales
Andy Powell,Number 8,1981-08-23,30,22,Wales
Mike Phillips,Scrum-half,1982-08-29,29,60,Wales
Rhys Webb,Scrum-half,1988-12-09,23,0,Wales
Lloyd Williams,Scrum-half,1989-11-30,22,5,Wales
James Hook,Fly-half,1985-06-27,26,59,Wales
Rhys Priestland,Fly-half,1987-01-09,25,9,Wales
Ashley Beck,Centre,1990-04-15,21,0,Wales
Jonathan Davies,Centre,1988-04-05,23,21,Wales
Gavin Henson,Centre,1982-02-01,30,33,Wales
Jamie Roberts,Centre,1986-11-08,25,39,Wales
Scott Williams,Centre,1990-10-10,21,8,Wales
George North,Wing,1992-04-13,19,16,Wales
Alex Cuthbert,Wing,1990-04-05,21,1,Wales
Harry Robinson,Wing,1993-04-16,18,0,Wales
Lee Byrne,Fullback,1980-06-01,31,46,Wales
Leigh Halfpenny,Fullback,1988-12-22,23,27,Wales
Liam Williams,Fullback,1991-04-09,20,0,Wales
Ross Ford (c),Hooker,1984-04-23,27,53,Scotland
Dougie Hall,Hooker,1980-09-24,31,37,Scotland
Scott Lawson,Hooker,1981-09-28,30,29,Scotland
Geoff Cross,Prop,1982-12-11,29,8,Scotland
Alasdair Dickinson,Prop,1983-09-11,28,24,Scotland
Allan Jacobsen,Prop,1978-09-22,33,60,Scotland
Ed Kalman,Prop,1982-12-07,29,0,Scotland
Euan Murray,Prop,1980-08-07,31,41,Scotland
Richie Gray,Lock,1989-08-24,22,16,Scotland
Jim Hamilton,Lock,1982-11-17,29,34,Scotland
Alastair Kellock,Lock,1981-06-14,30,36,Scotland
Fraser McKenzie,Lock,1988-03-28,23,0,Scotland
John Barclay,Flanker,1986-09-24,25,32,Scotland
Kelly Brown,Flanker,1982-06-08,29,49,Scotland
Rob Harley,Flanker,1990-05-26,21,0,Scotland
Ross Rennie,Flanker,1986-03-29,25,11,Scotland
Alasdair Strokosch,Flanker,1983-02-21,28,23,Scotland
David Denton,Number 8,1990-02-05,21,1,Scotland
Richie Vernon,Number 8,1987-07-07,24,15,Scotland
Mike Blair,Scrum-half,1981-04-20,30,75,Scotland
Chris Cusiter,Scrum-half,1982-06-13,29,55,Scotland
Rory Lawson,Scrum-half,1981-03-12,30,30,Scotland
Greig Laidlaw,Scrum-half,1985-10-12,26,2,Scotland
Ruaridh Jackson,Fly-half,1988-02-12,23,11,Scotland
Dan Parks,Fly-half,1978-05-26,33,66,Scotland
Duncan Weir,Fly-half,1991-05-10,20,0,Scotland
Joe Ansbro,Centre,1985-10-29,26,9,Scotland
Nick De Luca,Centre,1984-02-01,28,29,Scotland
Graeme Morrison,Centre,1982-10-17,29,32,Scotland
Simon Danielli,Wing,1979-09-08,32,32,Scotland
Max Evans,Wing,1983-09-28,28,24,Scotland
Lee Jones,Wing,1988-06-28,23,0,Scotland
Sean Lamont,Wing,1981-01-15,31,60,Scotland
Stuart Hogg,Fullback,1992-06-24,19,0,Scotland
Rory Lamont,Fullback,1982-10-10,29,26,Scotland
