Player,Position,Date of Birth,Age,Caps,Team
Dylan Hartley,Hooker,1986-03-24,25,34,England
Lee Mears,Hooker,1979-03-05,32,38,England
Rob Webber,Hooker,1986-08-01,25,0,England
Alex Corbisiero,Prop,1988-08-30,23,10,England
Dan Cole,Prop,1987-05-09,24,23,England
Joe Marler,Prop,1990-07-07,21,0,England
Matt Stevens,Prop,1982-10-01,29,39,England
David Wilson,Prop,1985-04-09,26,19,England
Mouritz Botha,Lock,1982-01-29,30,1,England
Courtney Lawes,Lock,1989-02-23,22,13,England
Tom Palmer,Lock,1979-03-27,32,33,England
Callum Clark,Flanker,1989-06-10,22,0,England
Tom Croft,Flanker,1985-11-07,26,31,England
Chris Robshaw,Flanker,1986-06-04,25,1,England
Tom Wood,Flanker,1986-11-03,25,9,England
Phil Dowson,Number 8,1981-10-01,30,0,England
Ben Morgan,Number 8,1989-02-18,22,0,England
Lee Dickson,Scrum-half,1985-03-29,26,0,England
Joe Simpson,Scrum-half,1988-07-05,23,1,England
Ben Youngs,Scrum-half,1989-09-05,22,17,England
Toby Flood,Fly-half,1985-08-08,26,46,England
Charlie Hodgson,Fly-half,1980-11-12,31,36,England
Brad Barritt,Centre,1986-08-07,25,0,England
Owen Farrell,Centre,1991-09-21,20,0,England
Manu Tuilagi,Centre,1991-05-18,20,7,England
Jordan Turner-Hall,Centre,1988-01-05,24,0,England
Chris Ashton,Wing,1987-03-29,24,18,England
Charlie Sharples,Wing,1989-08-17,22,1,England
David Strettle,Wing,1983-07-23,28,7,England
Mike Brown,Fullback,1985-09-04,26,3,England
Ben Foden,Fullback,1985-07-22,26,22,England
William Servat,Hooker,1978-02-09,33,44,France
Dimitri Szarzewski,Hooker,1983-01-26,29,56,France
David Attoub,Prop,1981-06-07,30,1,France
Fabien Barcella,Prop,1983-10-27,28,20,France
Vincent Debaty,Prop,1981-10-02,30,1,France
Luc Ducalcon,Prop,1984-01-02,28,10,France
Nicolas Mas,Prop,1980-05-23,31,49,France
Jean-Baptiste Poux,Prop,1979-09-26,32,37,France
Yoann Maestri,Lock,1988-01-14,24,0,France
Lionel Nallet,Lock,1976-09-14,35,70,France
Pascal Papé,Lock,1980-10-05,31,35,France
Julien Pierre,Lock,1981-07-31,30,26,France
Julien Bonnaire,Flanker,1978-09-20,33,70,France
Thierry Dusautoir (c),Flanker,1981-11-18,30,49,France
Yannick Nyanga,Flanker,1983-12-19,28,25,France
Fulgence Ouedraogo,Flanker,1986-07-21,25,25,France
Imanol Harinordoquy,Number 8,1980-02-20,31,77,France
Louis Picamoles,Number 8,1986-02-05,25,21,France
Morgan Parra,Scrum-half,1988-11-15,23,36,France
Dimitri Yachvili,Scrum-half,1980-09-19,31,59,France
Lionel Beauxis,Fly-half,1985-10-24,26,15,France
François Trinh-Duc,Fly-half,1986-11-11,25,35,France
Yann David,Centre,1988-04-15,23,4,France
Wesley Fofana,Centre,1988-01-20,24,0,France
Maxime Mermoz,Centre,1986-07-28,25,15,France
Aurélien Rougerie,Centre,1980-09-26,31,71,France
Vincent Clerc,Wing,1981-05-07,30,57,France
Julien Malzieu,Wing,1983-05-04,28,16,France
Alexis Palisson,Wing,1987-09-09,24,20,France
Maxime Médard,Fullback,1986-11-16,25,28,France
Clément Poitrenaud,Fullback,1982-05-20,29,44,France
Rory Best,Hooker,1982-08-15,29,54,Ireland
Seán Cronin,Hooker,1986-05-06,25,15,Ireland
Tom Court,Prop,1980-11-06,31,24,Ireland
Cian Healy,Prop,1987-10-07,24,25,Ireland
Mike Ross,Prop,1979-12-21,32,15,Ireland
Leo Cullen,Lock,1978-01-09,34,32,Ireland
Donncha O'Callaghan,Lock,1979-03-24,32,80,Ireland
Paul O'Connell (c),Lock,1979-10-20,32,82,Ireland
Donnacha Ryan,Lock,1983-12-11,28,13,Ireland
Stephen Ferris,Flanker,1985-08-02,26,30,Ireland
Shane Jennings,Flanker,1981-07-08,30,12,Ireland
Jamie Heaslip,Number 8,1983-12-15,28,43,Ireland
Seán O'Brien,Number 8,1987-02-14,24,15,Ireland
Conor Murray,Scrum-half,1989-04-20,22,6,Ireland
Eoin Reddan,Scrum-half,1980-11-20,31,37,Ireland
Ronan O'Gara,Fly-half,1977-03-07,34,116,Ireland
Johnny Sexton,Fly-half,1985-07-11,26,24,Ireland
Gordon D'Arcy,Centre,1980-02-10,31,63,Ireland
Fergus McFadden,Centre,1986-06-17,25,6,Ireland
Paddy Wallace,Centre,1979-08-27,32,29,Ireland
Tommy Bowe,Wing,1984-02-22,27,44,Ireland
Keith Earls,Wing,1987-10-02,24,26,Ireland
Andrew Trimble,Wing,1984-10-20,27,41,Ireland
Rob Kearney,Fullback,1986-03-26,25,33,Ireland
Tommaso D'Apice,Hooker,1988-06-30,23,3,Italy
Leonardo Ghiraldini,Hooker,1984-12-26,27,41,Italy
Martin Castrogiovanni,Prop,1981-10-21,30,82,Italy
