Player,Position,Date of Birth,Age,Caps,Team
Billy Holland,Flanker,1985-08-03,29,0,Ireland
Roger Wilson,Number 8,1981-09-21,33,1,Ireland
Fraser Brown,Hooker,1989-06-20,25,3,Scotland
Ross Ford,Hooker,1984-04-23,30,80,Scotland
Geoff Cross,Prop,1982-12-11,32,35,Scotland
Alasdair Dickinson,Prop,1983-09-11,31,39,Scotland
Euan Murray,Prop,1980-08-07,34,62,Scotland
Gordon Reid,Prop,1987-03-04,27,6,Scotland
Jon Welsh,Prop,1986-10-13,28,3,Scotland
Jonny Gray,Lock,1994-03-14,20,8,Scotland
Richie Gray,Lock,1989-08-24,25,42,Scotland
Jim Hamilton,Lock,1982-11-17,32,57,Scotland
Ben Toolis,Lock,1992-03-31,22,0,Scotland
Hugh Blake,Flanker,1992-09-10,22,0,Scotland
Blair Cowan,Flanker,1986-04-21,28,6,Scotland
Rob Harley,Flanker,1990-05-26,24,10,Scotland
Alasdair Strokosch,Flanker,1983-02-21,31,42,Scotland
Hamish Watson,Flanker,1991-10-15,23,0,Scotland
David Denton,Number 8,1990-02-05,25,23,Scotland
Sam Hidalgo-Clyne,Scrum-half,1993-08-04,21,0,Scotland
Greig Laidlaw (c),Scrum-half,1985-10-12,29,34,Scotland
Henry Pyrgos,Scrum-half,1989-07-09,25,13,Scotland
Finn Russell,Fly-half,1992-09-23,22,5,Scotland
Greig Tonks,Fly-half,1989-05-20,25,1,Scotland
Mark Bennett,Centre,1993-03-03,21,2,Scotland
Alex Dunbar,Centre,1990-04-23,24,11,Scotland
Peter Horne,Centre,1989-10-05,25,5,Scotland
Sean Lamont,Centre,1981-01-15,34,91,Scotland
Matt Scott,Centre,1990-09-30,24,21,Scotland
Dougie Fife,Wing,1990-08-08,24,3,Scotland
Sean Maitland,Wing,1988-09-14,26,15,Scotland
Tommy Seymour,Wing,1988-07-01,26,13,Scotland
Tim Visser,Wing,1987-05-29,27,15,Scotland
Stuart Hogg,Fullback,1992-06-24,22,27,Scotland
Stuart McInally,Hooker,1990-08-09,24,0,Scotland
Alex Allan,Prop,1992-02-28,22,1,Scotland
Ryan Grant,Prop,1985-10-08,29,19,Scotland
Moray Low,Prop,1984-11-28,30,29,Scotland
Tim Swinson,Lock,1987-02-17,27,9,Scotland
Adam Ashe,Number 8,1993-07-24,21,3,Scotland
Johnnie Beattie,Number 8,1985-11-21,29,34,Scotland
Chris Cusiter,Scrum-half,1982-06-13,32,70,Scotland
Scott Baldwin,Hooker,1988-07-12,26,5,Wales
Kristian Dacey,Hooker,1989-07-25,25,0,Wales
Richard Hibbard,Hooker,1983-12-13,31,33,Wales
Scott Andrews,Prop,1989-08-01,25,9,Wales
Rob Evans,Prop,1992-04-14,22,0,Wales
Paul James,Prop,1982-05-13,32,57,Wales
Aaron Jarvis,Prop,1986-05-20,28,5,Wales
Gethin Jenkins,Prop,1980-11-17,34,110,Wales
Samson Lee,Prop,1992-11-30,22,9,Wales
Jake Ball,Lock,1991-06-21,23,8,Wales
Luke Charteris,Lock,1983-03-09,31,50,Wales
Bradley Davies,Lock,1987-01-09,28,44,Wales
Alun Wyn Jones,Lock,1985-09-19,29,84,Wales
James King,Flanker,1990-07-24,24,3,Wales
Dan Lydiate,Flanker,1987-12-18,27,41,Wales
Justin Tipuric,Flanker,1989-08-06,25,27,Wales
Sam Warburton (c),Flanker,1988-12-05,26,49,Wales
Taulupe Faletau,Number 8,1990-11-12,24,40,Wales
Gareth Davies,Scrum-half,1990-08-18,24,1,Wales
Mike Phillips,Scrum-half,1982-08-29,32,90,Wales
Rhys Webb,Scrum-half,1988-12-09,26,9,Wales
Gareth Anscombe,Fly-half,1991-05-10,23,0,Wales
Dan Biggar,Fly-half,1989-10-16,25,28,Wales
Rhys Priestland,Fly-half,1987-01-09,28,32,Wales
Cory Allen,Centre,1993-02-11,21,2,Wales
Jonathan Davies,Centre,1988-04-05,26,43,Wales
Tyler Morgan,Centre,1995-09-11,19,0,Wales
Jamie Roberts,Centre,1986-11-08,28,64,Wales
Scott Williams,Centre,1990-10-10,24,27,Wales
Hallam Amos,Wing,1994-09-24,20,1,Wales
Alex Cuthbert,Wing,1990-04-05,24,30,Wales
George North,Wing,1992-04-13,22,45,Wales
Leigh Halfpenny,Fullback,1988-12-22,26,55,Wales
Liam Williams,Fullback,1991-04-09,23,18,Wales
Ken Owens,Hooker,1987-01-03,28,26,Wales
Tomas Francis,Prop,1992-04-27,22,0,Wales
Rhys Gill,Prop,1986-10-30,28,5,Wales
Leonardo Ghiraldini,Hooker,1984-12-26,37,70,Italy
Andrea Manici,Hooker,1990-04-28,24,6,Italy
Matías Agüero,Prop,1981-02-13,33,29,Italy
Martin Castrogiovanni,Prop,1981-10-21,33,107,Italy
Dario Chistolini,Prop,1988-09-14,26,5,Italy
Alberto De Marchi,Prop,1986-03-13,28,23,Italy
George Biagi,Lock,1985-10-04,29,3,Italy
Marco Bortolami,Lock,1980-06-12,34,110,Italy
Joshua Furno,Lock,1989-10-21,25,24,Italy
Quintin Geldenhuys,Lock,1981-06-19,33,52,Italy
Robert Barbieri,Flanker,1984-06-05,30,38,Italy
Mauro Bergamasco,Flanker,1979-05-01,35,100,Italy
Simone Favaro,Flanker,1988-11-07,26,23,Italy
Francesco Minto,Flanker,1987-05-20,27,11,Italy
Alessandro Zanni,Flanker,1984-01-31,31,86,Italy
Sergio Parisse (c),Number 8,1983-09-12,31,108,Italy
Edoardo Gori,Scrum-half,1990-03-05,24,37,Italy
Guglielmo Palazzani,Scrum-half,1991-04-11,23,5,Italy
Marcello Violi,Scrum-half,1993-10-11,21,0,Italy
Tommaso Allan,Fly-half,1993-04-26,21,10,Italy
Kelly Haimona,Fly-half,1986-07-30,28,3,Italy
Giulio Bisegni,Centre,1992-04-04,22,0,Italy
Michele Campagnaro,Centre,1993-03-13,21,12,Italy
Luca Morisi,Centre,1991-02-22,23,9,Italy
Simone Ragusi,Wing,1992-03-28,22,0,Italy
Leonardo Sarto,Wing,1992-01-15,23,12,Italy
Giovanbattista Venditti,Wing,1990-03-27,24,22,Italy
Michele Visentin,Wing,1991-12-13,23,0,Italy
Andrea Masi,Fullback,1981-03-30,33,87,Italy
Luke McLean,Fullback,1987-06-29,27,63,Italy
Lorenzo Cittadini,Prop,1982-12-17,32,36,Italy
Michele Rizzo,Prop,1982-09-16,32,15,Italy
Marco Fuser,Lock,1991-03-09,23,2,Italy
Antonio Pavanello,Lock,1982-10-13,32,23,Italy
Marco Barbini,Flanker,1990-10-16,24,0,Italy
Samuela Vunisa,Flanker,1988-08-19,26,1,Italy
Luciano Orquera,Fly-half,1981-10-12,33,46,Italy
Enrico Bacchin,Centre,1992-11-28,22,0,Italy
Tommaso Boni,Centre,1993-01-15,22,0,Italy
