Player,Position,Date of Birth,Age,Caps,Team
Dylan Hartley,Hooker,1986-03-24,28,61,England
Tom Youngs,Hooker,1987-01-28,28,17,England
Dan Cole,Prop,1987-05-09,27,45,England
Alex Corbisiero,Prop,1988-08-30,26,19,England
Joe Marler,Prop,1990-07-07,24,26,England
Mako Vunipola,Prop,1991-01-13,24,15,England
David Wilson,Prop,1985-04-09,29,41,England
Dave Attwood,Lock,1987-04-05,27,16,England
Graham Kitchener,Lock,1989-09-29,25,0,England
George Kruis,Lock,1990-02-22,32,4,England
Geoff Parling,Lock,1983-10-28,31,21,England
Calum Clark,Flanker,1989-06-10,25,0,England
James Haskell,Flanker,1985-04-02,29,53,England
Chris Robshaw (c),Flanker,1986-06-04,28,32,England
Tom Wood,Flanker,1986-11-03,28,34,England
Nick Easter,Number 8,1978-08-15,36,47,England
Billy Vunipola,Number 8,1992-11-03,22,12,England
Danny Care,Scrum-half,1987-01-02,28,50,England
Richard Wigglesworth,Scrum-half,1983-06-09,31,16,England
Ben Youngs,Scrum-half,1989-09-05,25,42,England
Danny Cipriani,Fly-half,1987-11-02,27,9,England
Owen Farrell,Fly-half,1991-09-24,23,29,England
George Ford,Fly-half,1993-03-16,21,6,England
Stephen Myler,Fly-half,1984-07-21,30,1,England
Brad Barritt,Centre,1986-08-07,28,22,England
Luther Burrell,Centre,1987-12-06,27,7,England
Kyle Eastmond,Centre,1989-07-17,25,6,England
Jonathan Joseph,Centre,1991-05-21,23,6,England
Billy Twelvetrees,Centre,1988-11-15,26,16,England
Jonny May,Wing,1990-04-01,24,11,England
Jack Nowell,Wing,1993-04-11,21,5,England
Anthony Watson,Wing,1994-02-26,20,4,England
Mike Brown,Fullback,1985-09-04,29,33,England
Alex Goode,Fullback,1988-05-07,26,16,England
Rob Webber,Hooker,1986-08-01,28,12,England
Kieran Brookes,Prop,1990-08-29,24,6,England
Henry Thomas,Prop,1991-10-30,23,7,England
Christian Day,Lock,1983-06-24,31,0,England
Courtney Lawes,Lock,1989-02-23,25,36,England
Tom Croft,Flanker,1985-11-07,29,38,England
Sam Burgess,Centre,1988-12-14,26,0,England
Henry Slade,Centre,1993-03-19,21,0,England
Chris Pennell,Fullback,1987-04-26,27,1,England
Guilhem Guirado,Hooker,1986-06-17,28,26,France
Benjamin Kayser,Hooker,1984-07-26,30,27,France
Uini Atonio,Prop,1990-03-26,24,3,France
Eddy Ben Arous,Prop,1990-08-25,24,1,France
Nicolas Mas,Prop,1980-05-23,34,76,France
Alexandre Menini,Prop,1983-08-05,31,5,France
Rabah Slimani,Prop,1989-10-18,25,10,France
Alexandre Flanquart,Lock,1989-10-09,25,10,France
Yoann Maestri,Lock,1988-01-14,27,31,France
Pascal Papé,Lock,1980-10-05,34,57,France
Romain Taofifénua,Lock,1990-09-14,24,3,France
Thierry Dusautoir (c),Flanker,1981-11-18,33,70,France
Bernard Le Roux,Flanker,1989-06-04,25,11,France
Yannick Nyanga,Flanker,1983-12-19,31,40,France
Charles Ollivon,Flanker,1993-05-11,21,2,France
Damien Chouly,Number 8,1985-11-27,29,24,France
Louis Picamoles,Number 8,1986-02-05,29,44,France
Rory Kockott,Scrum-half,1986-06-25,28,3,France
Sébastien Tillous-Borde,Scrum-half,1985-04-29,29,11,France
Camille Lopez,Fly-half,1989-04-03,25,5,France
Rémi Tales,Fly-half,1984-05-02,30,13,France
Mathieu Bastareaud,Centre,1988-09-17,26,28,France
Alexandre Dumoulin,Centre,1989-08-24,25,2,France
Wesley Fofana,Centre,1988-01-20,27,30,France
Rémi Lamerat,Centre,1990-01-14,25,3,France
Sofiane Guitoune,Wing,1989-03-27,25,2,France
Yoann Huget,Wing,1987-06-02,27,33,France
Noa Nakaitaci,Wing,1990-07-11,24,0,France
Teddy Thomas,Wing,1993-09-18,21,2,France
Brice Dulin,Fullback,1990-04-13,24,18,France
Scott Spedding,Fullback,1986-05-04,28,3,France
Vincent Debaty,Prop,1981-10-02,33,25,France
Thomas Domingo,Prop,1985-08-20,29,36,France
Jocelino Suta,Lock,1982-11-18,32,5,France
Wenceslas Lauret,Flanker,1989-03-28,25,7,France
Loann Goujon,Number 8,1989-04-23,25,0,France
Morgan Parra,Scrum-half,1988-11-15,26,56,France
Pierre Bernard,Fly-half,1989-01-31,26,0,France
Jules Plisson,Fly-half,1986-08-20,28,4,France
Gaël Fickou,Centre,1994-03-26,20,9,France
Maxime Mermoz,Centre,1986-07-28,28,28,France
Marc Andreu,Wing,1985-12-27,29,7,France
Rory Best,Hooker,1982-08-15,32,78,Ireland
Seán Cronin,Hooker,1986-05-06,28,38,Ireland
Richardt Strauss,Hooker,1986-01-29,29,6,Ireland
James Cronin,Prop,1990-11-23,24,1,Ireland
Cian Healy,Prop,1987-10-07,27,47,Ireland
Jack McGrath,Prop,1989-10-11,25,12,Ireland
Martin Moore,Prop,1991-03-01,23,5,Ireland
Mike Ross,Prop,1979-12-21,35,44,Ireland
Nathan White,Prop,1981-09-04,33,0,Ireland
Iain Henderson,Lock,1992-02-21,22,12,Ireland
Mike McCarthy,Lock,1981-11-27,33,17,Ireland
Paul O'Connell (c),Lock,1979-10-20,35,96,Ireland
Devin Toner,Lock,1986-06-29,28,20,Ireland
Jordi Murphy,Flanker,1991-04-22,23,4,Ireland
Seán O'Brien,Flanker,1987-02-14,27,30,Ireland
Tommy O'Donnell,Flanker,1987-05-21,27,6,Ireland
Peter O'Mahony,Flanker,1989-09-17,25,25,Ireland
Dominic Ryan,Flanker,1990-03-28,24,1,Ireland
Robbie Diack,Number 8,1985-11-12,29,2,Ireland
Jamie Heaslip,Number 8,1983-12-15,31,69,Ireland
Isaac Boss,Scrum-half,1980-04-09,34,20,Ireland
Kieran Marmion,Scrum-half,1992-02-11,22,3,Ireland
Conor Murray,Scrum-half,1989-04-20,25,30,Ireland
Eoin Reddan,Scrum-half,1980-11-20,34,58,Ireland
Ian Keatley,Fly-half,1987-04-01,27,3,Ireland
Ian Madigan,Fly-half,1989-03-21,25,13,Ireland
Johnny Sexton,Fly-half,1985-07-11,29,47,Ireland
Darren Cave,Centre,1987-04-05,27,8,Ireland
Gordon D'Arcy,Centre,1980-02-10,34,81,Ireland
Robbie Henshaw,Centre,1993-06-12,21,5,Ireland
Jared Payne,Centre,1985-10-13,29,1,Ireland
Tommy Bowe,Wing,1984-02-22,30,56,Ireland
Keith Earls,Wing,1987-10-02,27,39,Ireland
Luke Fitzgerald,Wing,1987-09-13,27,27,Ireland
David Kearney,Wing,1989-06-19,25,7,Ireland
Simon Zebo,Wing,1990-03-16,24,11,Ireland
Felix Jones,Fullback,1987-08-05,27,9,Ireland
Rob Kearney,Fullback,1986-03-26,28,57,Ireland
Michael Bent,Prop,1986-04-25,28,2,Ireland
Tadhg Furlong,Prop,1992-11-14,22,0,Ireland
Dan Tuohy,Lock,1985-06-18,29,9,Ireland
