Player,Position,Age,Caps,Year
Billy Vunipola,Back row,11/3/1992,36,2019
Mark Wilson,Back row,10/6/1989,8,2019
Dan Robson,Scrum-half,3/14/1992,0,2019
Ben Youngs,Scrum-half,9/5/1989,80,2019
George Ford,Fly-half,3/16/1993,51,2019
Owen Farrell (c),Fly-half,9/24/1991,65,2019
Henry Slade,Centre,3/19/1993,17,2019
Ollie Devoto,Centre,9/22/1993,1,2019
Ben Te'o,Centre,1/27/1987,16,2019
Manu Tuilagi,Centre,5/18/1991,27,2019
Chris Ashton,Wing,3/29/1987,42,2019
Joe Cokanasiga,Wing,11/15/1997,2,2019
Elliot Daly,Wing,10/8/1992,25,2019
Jonny May,Wing,4/1/1990,40,2019
Jack Nowell,Wing,4/11/1993,29,2019
Ollie Thorley,Wing,9/11/1996,0,2019
Mike Brown,Fullback,9/4/1985,72,2019
Tom Dunn,Hooker,11/12/1992,0,2018
Jamie George,Hooker,10/20/1990,20,2018
Dylan Hartley,Hooker,3/24/1986,89,2018
Lewis Boyce,Prop,6/30/1996,0,2018
Dan Cole,Prop,5/9/1987,77,2018
Alec Hepburn,Prop,3/30/1993,0,2018
Kyle Sinckler,Prop,3/30/1993,8,2018
Mako Vunipola,Prop,1/14/1991,44,2018
Harry Williams,Prop,10/1/1991,5,2018
Nick Isiekwe,Lock,4/20/1998,2,2018
Maro Itoje,Lock,10/28/1994,14,2018
George Kruis,Lock,2/22/1990,21,2018
Joe Launchbury,Lock,4/12/1991,47,2018
Courtney Lawes,Lock,2/23/1989,61,2018
Gary Graham,Flanker,8/29/1992,0,2018
Zach Mercer,Flanker,2/28/1997,0,2018
Chris Robshaw,Flanker,6/4/1986,59,2018
Sam Underhill,Flanker,7/22/1996,3,2018
Sam Simmonds,Number 8,11/10/1994,3,2018
Danny Care,Scrum-half,1/2/1987,76,2018
Ben Youngs,Scrum-half,9/5/1989,73,2018
George Ford,Fly-half,3/16/1993,40,2018
Alex Lozowski,Fly-half,6/30/1993,4,2018
Marcus Smith,Fly-half,2/14/1999,0,2018
Owen Farrell,Centre,9/24/1991,53,2018
Jonathan Joseph,Centre,5/18/1991,35,2018
Henry Slade,Centre,3/19/1993,10,2018
Ben Te'o,Centre,1/27/1987,8,2018
Nathan Earle,Wing,9/25/1994,0,2018
