Player,Position,Date of Birth,Age,Caps,Team
Jamie George,Hooker,10/20/1990,26,12,England
Dylan Hartley (c),Hooker,3/24/1986,30,79,England
Tommy Taylor,Hooker,11/11/1991,25,1,England
Dan Cole,Prop,5/9/1987,29,69,England
Nathan Catt,Prop,1/6/1988,29,0,England
Ellis Genge,Prop,2/16/1995,21,1,England
Joe Marler,Prop,7/7/1990,26,46,England
Matt Mullan,Prop,2/23/1987,29,13,England
Kyle Sinckler,Prop,3/10/1993,23,4,England
Charlie Ewels,Lock,6/29/1995,21,3,England
George Kruis,Lock,2/22/1990,26,20,England
Joe Launchbury,Lock,4/12/1991,25,37,England
Courtney Lawes,Lock,2/23/1989,27,53,England
Maro Itoje,Lock,10/28/1994,22,7,England
Jack Clifford,Flanker,2/12/1993,23,8,England
Teimana Harrison,Flanker,9/5/1992,24,5,England
James Haskell,Flanker,4/2/1985,31,70,England
Mike Williams,Flanker,11/4/1991,25,0,England
Tom Wood,Flanker,11/3/1986,30,45,England
Nathan Hughes,Number 8,6/10/1991,25,3,England
Danny Care,Scrum-half,1/2/1987,30,66,England
Ben Youngs,Scrum-half,9/5/1989,27,65,England
Owen Farrell,Fly-half,9/24/1991,25,47,England
George Ford,Fly-half,3/16/1993,23,30,England
Alex Lozowski,Fly-half,6/30/1993,23,0,England
Elliot Daly,Centre,10/8/1992,24,8,England
Jonathan Joseph,Centre,5/21/1991,25,29,England
Henry Slade,Centre,3/19/1993,23,4,England
Ben Te'o,Centre,1/27/1987,30,3,England
Jonny May,Wing,4/1/1990,26,22,England
Jack Nowell,Wing,4/11/1993,23,18,England
Anthony Watson,Wing,2/26/1994,22,24,England
Marland Yarde,Wing,4/20/1992,24,11,England
Mike Brown,Fullback,9/4/1985,31,55,England
Paul Hill,Prop,3/2/1995,21,5,England
Mako Vunipola,Prop,1/13/1991,26,39,England
Billy Vunipola,Number 8,11/3/1992,24,32,England
Henry Slade,Centre,3/19/1993,23,4,England
Camille Chat,Hooker,12/18/1995,21,7,France
Guilhem Guirado (c),Hooker,6/17/1986,36,46,France
Clément Maynadier,Hooker,10/11/1988,28,2,France
Uini Atonio,Prop,3/26/1990,26,20,France
Cyril Baille,Prop,9/15/1993,23,3,France
Eddy Ben Arous,Prop,8/25/1990,26,14,France
Mohamed Boughanmi,Prop,10/27/1991,25,0,France
Rabah Slimani,Prop,10/18/1989,27,31,France
Arthur Iturria,Lock,5/13/1994,22,0,France
Julien Le Devedec,Lock,6/4/1986,30,5,France
Yoann Maestri,Lock,1/14/1988,29,51,France
Sébastien Vahaamahina,Lock,10/21/1991,25,21,France
Loann Goujon,Flanker,4/23/1989,27,13,France
Kevin Gourdon,Flanker,1/23/1990,27,5,France
Raphaël Lakafia,Flanker,10/28/1988,28,4,France
Fabien Sanconnie,Flanker,2/21/1995,21,0,France
Damien Chouly,Number 8,11/27/1985,31,43,France
Louis Picamoles,Number 8,2/5/1986,30,57,France
Maxime Machenaud,Scrum-half,12/30/1988,28,26,France
Baptiste Serin,Scrum-half,6/20/1994,22,5,France
Jean-Marc Doussain,Fly-half,2/12/1991,25,14,France
Camille Lopez,Fly-half,4/3/1989,27,11,France
Gaël Fickou,Centre,3/26/1994,22,24,France
Wesley Fofana,Centre,1/20/1988,29,44,France
Rémi Lamerat,Centre,1/14/1990,27,11,France
Djibril Camara,Wing,6/22/1989,27,3,France
Yann David,Wing,4/15/1988,28,4,France
Yoann Huget,Wing,6/2/1987,29,42,France
Noa Nakaitaci,Wing,7/11/1990,26,10,France
Virimi Vakatawa,Wing,5/1/1992,24,8,France
Geoffrey Palis,Fullback,7/8/1991,25,0,France
Scott Spedding,Fullback,5/4/1986,30,18,France
Christopher Tolofua,Hooker,12/31/1993,23,4,France
Xavier Chiocci,Prop,2/13/1990,26,7,France
Paul Jedrasiak,Lock,2/6/1993,23,5,France
Bernard Le Roux,Flanker,6/4/1989,27,24,France
Charles Ollivon,Flanker,5/11/1993,23,5,France
Antoine Dupont,Scrum-half,11/15/1996,20,0,France
François Trinh-Duc,Fly-half,11/11/1986,30,56,France
Mathieu Bastareaud,Centre,9/17/1988,28,39,France
Henry Chavancy,Centre,5/22/1988,28,0,France
Jonathan Danty,Centre,10/7/1992,24,4,France
Gabriel Lacroix,Wing,10/10/1993,23,0,France
Brice Dulin,Fullback,4/13/1990,26,25,France
Rory Best (c),Hooker,8/15/1982,34,100,Ireland
Niall Scannell,Hooker,4/8/1992,24,0,Ireland
James Tracy,Hooker,4/2/1991,25,1,Ireland
Finlay Bealham,Prop,10/9/1991,25,6,Ireland
Tadhg Furlong,Prop,11/14/1992,24,11,Ireland
Cian Healy,Prop,10/7/1987,29,62,Ireland
Dave Kilcoyne,Prop,12/14/1988,28,17,Ireland
Jack McGrath,Prop,10/11/1989,27,36,Ireland
John Ryan,Prop,8/2/1988,28,1,Ireland
Ultan Dillane,Lock,11/9/1993,23,8,Ireland
Iain Henderson,Lock,2/21/1992,24,28,Ireland
