Player,Position,Date of Birth,Age,Caps,Team
Luke Cowan-Dickie,Hooker,1993-06-20,26,21,England
Tom Dunn,Hooker,1992-11-12,27,0,England
Jamie George,Hooker,1990-10-20,29,45,England
Beno Obano,Prop,1994-10-25,25,0,England
Ellis Genge,Prop,1995-02-16,24,14,England
Joe Marler,Prop,1990-07-07,29,68,England
Kyle Sinckler,Prop,1993-03-30,26,31,England
Will Stuart,Prop,1996-07-12,23,0,England
Mako Vunipola,Prop,1991-01-14,29,58,England
Harry Williams,Prop,1991-10-01,28,18,England
Charlie Ewels,Lock,1995-06-29,24,12,England
George Kruis,Lock,1990-02-22,29,41,England
Joe Launchbury,Lock,1991-04-12,28,62,England
Courtney Lawes,Lock,1989-02-23,30,81,England
Maro Itoje,Lock,1994-10-28,25,34,England
Alexander Moon,Lock,1996-09-06,23,0,England
Ted Hill,Back row,1999-03-26,20,1,England
Tom Curry,Back row,1998-06-15,21,19,England
Ben Earl,Back row,1998-01-07,22,0,England
Lewis Ludlam,Back row,1995-12-08,24,6,England
Sam Underhill,Back row,1996-07-22,23,15,England
Willi Heinz,Scrum-half,1986-11-24,33,9,England
Ben Youngs,Scrum-half,1989-09-05,30,95,England
Owen Farrell,Fly-half,1991-09-24,28,79,England
George Ford,Fly-half,1993-03-16,26,65,England
Jacob Umaga,Fly-half,1998-07-08,21,0,England
Ollie Devoto,Centre,1993-09-22,26,1,England
Fraser Dingwall,Centre,1999-04-07,20,0,England
Jonathan Joseph,Centre,1991-05-21,28,47,England
Manu Tuilagi,Centre,1991-05-18,28,40,England
Ollie Thorley,Wing,1996-09-11,23,0,England
Jonny May,Wing,1990-04-01,29,52,England
Anthony Watson,Wing,1994-02-26,25,42,England
Elliot Daly,Fullback,1992-10-08,27,39,England
George Furbank,Fullback,1996-10-17,23,0,England
Camille Chat,Hooker,1995-12-18,24,26,France
Anthony Étrillard,Hooker,1993-03-21,26,0,France
Julien Marchand,Hooker,1995-05-10,24,2,France
Dorian Aldegheri,Prop,1993-08-04,26,4,France
Cyril Baille,Prop,1993-09-15,26,17,France
Demba Bamba,Prop,1998-03-17,21,7,France
Jean-Baptiste Gros,Prop,1999-05-29,20,0,France
Mohamed Haouas,Prop,1994-06-09,25,0,France
Jefferson Poirot,Prop,1992-11-01,27,33,France
Cyril Cazeaux,Lock,1995-02-10,24,0,France
Kilian Geraci,Lock,1999-03-25,20,0,France
Bernard Le Roux,Lock,1989-06-04,30,37,France
Boris Palu,Lock,1996-02-04,23,0,France
Romain Taofifénua,Lock,1990-09-14,29,14,France
Paul Willemse,Lock,1992-11-13,27,5,France
