Player,Position,Date of Birth,Age,Caps,Team
Gregory Alldritt,Back row,1997-03-23,22,11,France
Dylan Cretin,Back row,1997-05-04,22,0,France
François Cros,Back row,1994-03-25,25,2,France
Alexandre Fischer,Back row,1998-01-19,22,0,France
Sekou Macalou,Back row,1995-04-20,24,2,France
Charles Ollivon (c),Back row,1993-05-11,26,11,France
Selevasio Tolofua,Back row,1997-05-31,22,0,France
Cameron Woki,Back row,1998-11-07,21,0,France
Antoine Dupont,Scrum-half,1996-11-15,23,20,France
Maxime Lucu,Scrum-half,1993-01-12,27,0,France
Baptiste Serin,Scrum-half,1994-06-20,25,33,France
Louis Carbonel,Fly-half,1999-02-04,20,0,France
Matthieu Jalibert,Fly-half,1998-11-06,21,1,France
Romain Ntamack,Fly-half,1999-05-01,20,12,France
Gaël Fickou,Centre,1994-03-26,25,51,France
Julien Hériteau,Centre,1994-01-12,26,0,France
Virimi Vakatawa,Centre,1992-05-01,27,21,France
Arthur Vincent,Centre,1999-09-30,20,0,France
Gervais Cordin,Wing,1998-12-10,21,0,France
Lester Etien,Wing,1995-06-21,24,0,France
Gabriel N'Gandebe,Wing,1997-03-30,22,0,France
Damian Penaud,Wing,1996-09-25,23,16,France
Vincent Rattez,Wing,1992-03-24,27,3,France
Teddy Thomas,Wing,1993-09-18,26,16,France
Anthony Bouthier,Fullback,1992-06-19,27,0,France
Kylan Hamdaoui,Fullback,1994-04-15,25,0,France
Thomas Ramos,Fullback,1995-07-23,27,9,France
Teddy Baubigny,Hooker,1998-09-02,21,0,France
Peato Mauvaka,Hooker,1997-01-10,23,1,France
Wilfrid Hounkpatin,Prop,1991-07-29,28,0,France
Guillaume Ducat,Lock,1996-05-25,23,0,France
Baptiste Delaporte,Back row,1997-03-27,22,0,France
Alexandre Roumat,Back row,1997-06-27,22,0,France
Yvan Reilhac,Centre,1995-06-09,24,0,France
Alivereti Raka,Wing,1994-12-09,25,4,France
Lucas Tauzin,Wing,1998-05-21,21,0,France
Dave Heffernan,Hooker,1991-01-31,29,1,Ireland
Rob Herring,Hooker,1990-04-27,29,8,Ireland
Rónan Kelleher,Hooker,1998-01-21,22,0,Ireland
Tadhg Furlong,Prop,1992-11-14,27,41,Ireland
Cian Healy,Prop,1987-10-07,32,95,Ireland
Dave Kilcoyne,Prop,1988-12-14,31,36,Ireland
Jack McGrath,Prop,1989-10-11,30,56,Ireland
Tom O'Toole,Prop,1998-09-23,21,0,Ireland
Andrew Porter,Prop,1996-01-16,24,23,Ireland
Ultan Dillane,Lock,1993-11-09,26,14,Ireland
Iain Henderson,Lock,1992-02-21,27,53,Ireland
James Ryan,Lock,1996-07-24,23,23,Ireland
Devin Toner,Lock,1986-06-29,33,67,Ireland
Will Connors,Back row,1996-04-04,23,0,Ireland
Max Deegan,Back row,1996-10-01,23,0,Ireland
Caelan Doris,Back row,1998-04-02,21,0,Ireland
Jack O'Donoghue,Back row,1994-02-08,25,2,Ireland
Peter O'Mahony,Back row,1989-09-17,30,64,Ireland
CJ Stander,Back row,1990-04-05,29,38,Ireland
Josh van der Flier,Back row,1993-04-25,26,23,Ireland
John Cooney,Scrum-half,1990-05-01,29,8,Ireland
Luke McGrath,Scrum-half,1993-02-03,26,19,Ireland
Conor Murray,Scrum-half,1989-04-20,30,78,Ireland
Billy Burns,Fly-half,1994-06-13,25,0,Ireland
Ross Byrne,Fly-half,1995-04-08,24,3,Ireland
Johnny Sexton (c),Fly-half,1985-07-11,34,88,Ireland
Bundee Aki,Centre,1990-04-07,29,23,Ireland
Chris Farrell,Centre,1993-03-16,26,9,Ireland
Robbie Henshaw,Centre,1993-06-12,26,40,Ireland
Stuart McCloskey,Centre,1992-08-06,27,3,Ireland
Garry Ringrose,Centre,1995-01-26,25,28,Ireland
Andrew Conway,Wing,1991-07-11,28,18,Ireland
Keith Earls,Wing,1987-10-02,32,82,Ireland
Dave Kearney,Wing,1989-06-19,30,19,Ireland
Jacob Stockdale,Wing,1996-04-06,23,25,Ireland
Will Addison,Fullback,1992-09-20,27,4,Ireland
Jordan Larmour,Fullback,1997-06-10,22,21,Ireland
Stuart McCloskey,Centre,1992-08-06,27,3,Ireland
Will Connors,Back row,1996-04-04,23,0,Ireland
Luca Bigi,Hooker,1991-04-19,28,24,Italy
Oliviero Fabiani,Hooker,1990-07-03,29,10,Italy
Federico Zani,Hooker,1989-04-09,30,13,Italy
Pietro Ceccarelli,Prop,1992-02-16,27,9,Italy
Danilo Fischetti,Prop,1998-01-26,22,0,Italy
Andrea Lovotti,Prop,1989-07-28,30,41,Italy
Marco Riccioni,Prop,1997-10-19,22,7,Italy
Giosuè Zilocchi,Prop,1997-01-15,23,2,Italy
Dean Budd,Lock,1986-07-31,33,26,Italy
Niccolò Cannone,Lock,1998-05-17,21,0,Italy
Federico Ruzza,Lock,1994-08-04,25,18,Italy
Alessandro Zanni,Lock,1984-01-31,36,117,Italy
Marco Lazzaroni,Back row,1995-05-18,24,4,Italy
Giovanni Licata,Back row,1997-02-18,22,8,Italy
Johan Meyer,Back row,1993-02-26,26,4,Italy
Sebastian Negri,Back row,1994-06-30,25,22,Italy
Giovanni Pettinelli,Back row,1996-03-13,23,0,Italy
Jake Polledri,Back row,1995-11-08,24,13,Italy
Braam Steyn,Back row,1992-05-02,27,36,Italy
Callum Braley,Scrum-half,1994-03-20,25,5,Italy
Guglielmo Palazzani,Scrum-half,1991-04-11,28,36,Italy
Marcello Violi,Scrum-half,1993-10-11,26,15,Italy
Tommaso Allan,Fly-half,1993-04-26,26,54,Italy
Carlo Canna,Fly-half,1992-08-25,27,39,Italy
Antonio Rizzi,Fly-half,1998-01-05,22,0,Italy
Giulio Bisegni,Centre,1992-04-04,27,14,Italy
Tommaso Boni,Centre,1993-01-15,27,11,Italy
Luca Morisi,Centre,1991-02-22,28,29,Italy
Alberto Sgarbi,Centre,1986-11-26,33,29,Italy
Mattia Bellini,Wing,1994-02-08,25,22,Italy
Tommaso Benvenuti,Wing,1990-12-12,29,62,Italy
Leonardo Sarto,Wing,1992-01-15,28,34,Italy
Matteo Minozzi,Wing,1996-06-04,23,16,Italy
Michelangelo Biondelli,Fullback,1998-10-15,21,0,Italy
Jayden Hayward,Fullback,1987-02-11,32,23,Italy
Edoardo Padovani,Fullback,1993-05-15,26,24,Italy
Fraser Brown,Hooker,1989-06-20,30,46,Scotland
Stuart McInally,Hooker,1990-08-09,29,33,Scotland
George Turner,Hooker,1992-10-08,27,9,Scotland
Simon Berghan,Prop,1990-12-07,29,24,Scotland
Jamie Bhatti,Prop,1993-09-08,26,15,Scotland
Allan Dell,Prop,1992-03-16,27,28,Scotland
Zander Fagerson,Prop,1996-01-19,24,25,Scotland
W. P. Nel,Prop,1986-04-30,33,35,Scotland
Rory Sutherland,Prop,1992-08-24,27,3,Scotland
Alex Craig,Lock,1997-04-26,22,0,Scotland
Scott Cummings,Lock,1996-12-03,23,8,Scotland
Grant Gilchrist,Lock,1990-08-09,29,40,Scotland
Jonny Gray,Lock,1994-03-14,25,55,Scotland
Ben Toolis,Lock,1992-03-31,27,22,Scotland
Magnus Bradbury,Back row,1995-08-23,24,11,Scotland
Luke Crosbie,Back row,1997-04-22,22,0,Scotland
Cornell du Preez,Back row,1991-03-23,28,6,Scotland
Thomas Gordon,Back row,1997-01-30,23,0,Scotland
Nick Haining,Back row,1990-09-01,29,0,Scotland
Jamie Ritchie,Back row,1996-08-16,23,14,Scotland
Hamish Watson,Back row,1991-10-15,28,28,Scotland
George Horne,Scrum-half,1995-05-12,24,10,Scotland
Ali Price,Scrum-half,1993-05-12,26,28,Scotland
Henry Pyrgos,Scrum-half,1989-07-09,30,28,Scotland
Adam Hastings,Fly-half,1996-10-05,23,16,Scotland
Finn Russell,Fly-half,1992-09-23,27,49,Scotland
Chris Harris,Centre,1990-12-28,29,14,Scotland
Rory Hutchinson,Centre,1996-01-29,24,3,Scotland
Sam Johnson,Centre,1993-06-19,26,9,Scotland
Huw Jones,Centre,1993-12-17,26,23,Scotland
Matt Scott,Centre,1990-09-30,29,39,Scotland
Darcy Graham,Wing,1997-06-21,22,11,Scotland
Sean Maitland,Wing,1988-09-14,31,44,Scotland
Byron McGuigan,Wing,1989-08-20,30,9,Scotland
Kyle Steyn,Wing,1994-01-29,26,0,Scotland
Ratu Tagive,Wing,1991-04-08,28,0,Scotland
Stuart Hogg,Fullback,1992-06-24,27,72,Scotland
Blair Kinghorn,Fullback,1997-01-18,23,17,Scotland
Lewis Carmichael,Lock,1995-05-02,24,2,Scotland
Sam Skinner,Lock,1995-01-31,25,6,Scotland
Matt Fagerson,Back row,1998-07-16,21,5,Scotland
Duncan Weir,Fly-half,1991-05-10,28,27,Scotland
Elliot Dee,Hooker,1994-03-07,25,29,Wales
Ryan Elias,Hooker,1995-01-07,25,9,Wales
Ken Owens,Hooker,1987-01-03,33,73,Wales
Rhys Carre,Prop,1998-02-08,21,6,Wales
Leon Brown,Prop,1996-10-26,23,6,Wales
Rob Evans,Prop,1992-04-14,27,36,Wales
WillGriff John,Prop,1992-12-04,27,0,Wales
Wyn Jones,Prop,1992-02-26,27,22,Wales
Dillon Lewis,Prop,1996-01-04,24,22,Wales
Jake Ball,Lock,1991-06-27,28,42,Wales
Adam Beard,Lock,1996-01-07,24,20,Wales
Seb Davies,Lock,1996-05-17,23,7,Wales
Cory Hill,Lock,1992-02-10,27,24,Wales
Alun Wyn Jones,Lock,1985-09-19,34,134,Wales
Will Rowlands,Lock,1991-09-19,28,0,Wales
Taulupe Faletau,Back row,1990-11-12,29,72,Wales
Ross Moriarty,Back row,1990-11-12,29,41,Wales
Josh Navidi,Back row,1990-12-30,29,23,Wales
Aaron Shingler,Back row,1987-08-07,32,26,Wales
Justin Tipuric,Back row,1989-08-06,30,72,Wales
Aaron Wainwright,Back row,1997-09-25,22,18,Wales
Gareth Davies,Scrum-half,1990-08-18,29,51,Wales
Rhys Webb,Scrum-half,1988-12-09,31,31,Wales
Tomos Williams,Scrum-half,1995-01-01,25,16,Wales
Dan Biggar,Fly-half,1989-10-16,30,79,Wales
Jarrod Evans,Fly-half,1996-07-25,23,3,Wales
Owen Williams,Fly-half,1992-02-27,27,3,Wales
Hadleigh Parkes,Centre,1987-10-05,32,25,Wales
Nick Tompkins,Centre,1995-02-16,24,0,Wales
Owen Watkin,Centre,1996-10-12,23,22,Wales
Josh Adams,Wing,1995-04-21,24,21,Wales
Owen Lane,Wing,1997-12-20,22,2,Wales
Johnny McNicholl,Wing,1990-09-24,29,0,Wales
George North,Wing,1992-04-13,27,91,Wales
Louis Rees-Zammit,Wing,2001-02-02,18,0,Wales
Leigh Halfpenny,Fullback,1988-12-22,31,85,Wales
Jonah Holmes,Fullback,1992-07-24,27,3,Wales
Liam Williams,Fullback,1991-04-09,28,62,Wales
